AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,OREB,PF,PLUS_MINUS,PTS,REB,STL,TOV,HOME,CLASS
9.0,5.0,-1.0,-2.0,2.0,0.13,-9.0,0.0,0.046999999999999986,-21.0,-15.0,-0.0050000000000000044,-12.0,8.0,-26.0,-13.0,-13.0,-3.0,3.0,1.0,-1
-3.0,-9.0,7.0,-14.0,0.0,0.21899999999999997,4.0,3.0,0.015000000000000013,3.0,2.0,-0.0040000000000000036,6.0,3.0,16.0,8.0,13.0,0.0,3.0,1.0,1
0.0,0.0,-9.0,-14.0,-7.0,-0.11199999999999999,-1.0,-3.0,-0.03300000000000003,-4.0,-4.0,-0.031000000000000028,-4.0,2.0,-34.0,-17.0,-13.0,0.0,-7.0,1.0,1
0.0,-3.0,-7.0,11.0,8.0,0.15700000000000003,3.0,-5.0,-0.08100000000000002,-2.0,-5.0,-0.11499999999999999,1.0,-1.0,-14.0,-7.0,-6.0,1.0,-1.0,1.0,1
-2.0,-3.0,-3.0,-11.0,-2.0,0.068,-4.0,-8.0,-0.07,13.0,3.0,-0.2260000000000001,0.0,-5.0,-30.0,-15.0,-3.0,1.0,1.0,1.0,1
10.0,2.0,0.0,7.0,2.0,-0.013000000000000012,-1.0,11.0,0.13,-10.0,-10.0,-0.08699999999999997,-8.0,6.0,28.0,14.0,-8.0,5.0,-1.0,1.0,1
-15.0,1.0,-16.0,3.0,-2.0,-0.135,-5.0,-16.0,-0.17000000000000004,24.0,15.0,-0.1080000000000001,2.0,-8.0,-38.0,-19.0,-14.0,7.0,-7.0,1.0,1
-8.0,-4.0,-5.0,-7.0,-4.0,-0.08100000000000002,18.0,-1.0,-0.10699999999999998,-10.0,-9.0,-0.039000000000000035,14.0,5.0,-30.0,-15.0,9.0,3.0,2.0,1.0,1
-5.0,-2.0,-14.0,4.0,0.0,-0.04899999999999999,3.0,-3.0,-0.05299999999999999,-12.0,-10.0,-0.04500000000000004,-12.0,2.0,-32.0,-16.0,-26.0,-1.0,-7.0,1.0,1
8.0,1.0,14.0,-10.0,-1.0,0.17799999999999994,-17.0,7.0,0.197,-3.0,2.0,0.21399999999999997,-11.0,7.0,30.0,15.0,3.0,-4.0,4.0,1.0,1
-8.0,2.0,9.0,6.0,5.0,0.14300000000000002,1.0,-2.0,-0.029000000000000026,-7.0,2.0,0.30899999999999994,3.0,9.0,6.0,3.0,12.0,-6.0,4.0,1.0,-1
-20.0,8.0,-9.0,7.0,-4.0,-0.255,-17.0,-22.0,-0.17200000000000004,31.0,17.0,-0.18399999999999994,0.0,-6.0,-62.0,-31.0,-9.0,0.0,1.0,1.0,1
-2.0,-4.0,8.0,-5.0,-1.0,0.02200000000000002,-13.0,1.0,0.07400000000000001,9.0,4.0,-0.16100000000000003,-7.0,-4.0,10.0,5.0,1.0,-3.0,0.0,1.0,1
-7.0,-8.0,-13.0,12.0,-1.0,-0.224,17.0,-6.0,-0.17900000000000005,-5.0,-2.0,0.04600000000000004,8.0,1.0,-30.0,-15.0,-5.0,3.0,-2.0,1.0,1
-3.0,2.0,-4.0,4.0,-5.0,-0.25,6.0,0.0,-0.02999999999999997,7.0,7.0,0.16700000000000004,1.0,-3.0,4.0,2.0,-3.0,10.0,-11.0,1.0,-1
-9.0,3.0,-3.0,-13.0,-8.0,-0.059,0.0,-3.0,-0.03700000000000003,-1.0,0.0,0.028000000000000025,1.0,6.0,-28.0,-14.0,-2.0,1.0,0.0,1.0,1
7.0,7.0,2.0,8.0,6.0,0.14399999999999996,4.0,14.0,0.16100000000000003,-22.0,-12.0,0.18900000000000006,-7.0,13.0,44.0,22.0,-5.0,1.0,-4.0,1.0,1
-1.0,0.0,2.0,0.0,-1.0,-0.030999999999999972,0.0,3.0,0.03500000000000003,9.0,9.0,0.06800000000000006,1.0,-4.0,28.0,14.0,3.0,6.0,-6.0,1.0,1
-6.0,-2.0,-4.0,6.0,6.0,0.10499999999999998,5.0,-4.0,-0.07,-7.0,-4.0,0.05400000000000005,1.0,3.0,-12.0,-6.0,-3.0,-5.0,1.0,1.0,1
7.0,4.0,-2.0,-2.0,-3.0,-0.131,5.0,8.0,0.07300000000000001,0.0,-7.0,-0.29200000000000004,0.0,1.0,12.0,6.0,-2.0,0.0,-7.0,1.0,1
