,GAMECODE,GAME_DATE_EST,GAME_ID,GAME_SEQUENCE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,HOME_TEAM_LOSSES,HOME_TEAM_WINS,LARGEST_LEAD,LEAD_CHANGES,LEAGUE_ID,LIVE_PC_TIME,LIVE_PERIOD,LIVE_PERIOD_TIME_BCAST,NATL_TV_BROADCASTER_ABBREVIATION,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,SEASON,SERIES_LEADER,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TIMES_TIED,VISITOR_TEAM_ID,WH_STATUS
0,20160312/ORLPOR,2016-03-12T00:00:00,0021500982,10.0,3.0,Final,1610612757.0,,,,,,     ,4.0,Q4       - ,,,,,2015,,,,,,1610612753.0,1.0
0,,,,,,,,,,9.0,3.0,00,,,,,13.0,9.0,32.0,,,ORL,Orlando,1610612753.0,1.0,,
1,,,,,,,,,,41.0,3.0,00,,,,,10.0,9.0,50.0,,,POR,Portland,1610612757.0,1.0,,
0,,2016-03-12T00:00:00,0021500982,,,,1610612757.0,1.0,1.0,,,,,,,,,,,,Tied,,,,,1610612753.0,
