,GAMECODE,GAME_DATE_EST,GAME_ID,GAME_SEQUENCE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,HOME_TEAM_LOSSES,HOME_TEAM_WINS,LARGEST_LEAD,LEAD_CHANGES,LEAGUE_ID,LIVE_PC_TIME,LIVE_PERIOD,LIVE_PERIOD_TIME_BCAST,NATL_TV_BROADCASTER_ABBREVIATION,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,SEASON,SERIES_LEADER,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TIMES_TIED,VISITOR_TEAM_ID,WH_STATUS
0,20160312/DETPHI,2016-03-12T00:00:00,0021500976,3.0,3.0,Final,1610612755.0,,,,,,     ,4.0,Q4       - ,,,,,2015,,,,,,1610612765.0,1.0
0,,,,,,,,,,16.0,14.0,00,,,,,16.0,23.0,64.0,,,DET,Detroit,1610612765.0,12.0,,
1,,,,,,,,,,10.0,14.0,00,,,,,8.0,18.0,40.0,,,PHI,Philadelphia,1610612755.0,12.0,,
0,,2016-03-12T00:00:00,0021500976,,,,1610612755.0,4.0,0.0,,,,,,,,,,,,Detroit,,,,,1610612765.0,
