,AST,BLK,BLKA,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_ID,GROUP_NAME,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,W,W_PCT
11,-24.31656,4.05276,-4.05276,-30.3957,7.09233,-3.03957,-0.144,-14.18466,-29.38251,-0.182,11.14509,10.1319,0.083,14,2037 - 202325 - 1718 - 203085 - 2746,"Crawford,Jamal - Johnson,Wesley - Pierce,Paul - Rivers,Austin - Smith,Josh",Lineups,,4,73.0216666667,-11.14509,-8.10552,8.10552,-51.67269,-51.67269,-41.54079,-3.03957,,,,-9.11871,10,0.714
12,-3.03957,7.09233,-7.09233,-11.14509,-2.02638,1.01319,0.037,-22.29018,0.0,0.085,-18.23742,-19.25061,-0.189,9,201145 - 201599 - 101108 - 1718 - 200755,"Green,Jeff - Jordan,DeAndre - Paul,Chris - Pierce,Paul - Redick,JJ",Lineups,,4,70.75,-22.29018,14.18466,-14.18466,-18.23742,-18.23742,-33.43527,5.06595,,,,-1.01319,5,0.556
13,-2.02638,1.01319,-1.01319,-11.14509,4.05276,1.01319,-0.023,3.03957,-1.01319,-0.023,20.2638,13.17147,-0.049,22,2037 - 202325 - 201599 - 101108 - 203085,"Crawford,Jamal - Johnson,Wesley - Jordan,DeAndre - Paul,Chris - Rivers,Austin",Lineups,,7,61.79,0.0,-18.23742,18.23742,12.15828,12.15828,-11.14509,8.10552,,,,-12.15828,15,0.682
14,2.02638,6.07914,-6.07914,-5.06595,-5.06595,0.0,0.053,-4.05276,0.0,0.02,2.02638,2.02638,0.019,10,202332 - 2037 - 201145 - 202325 - 203085,"Aldrich,Cole - Crawford,Jamal - Green,Jeff - Johnson,Wesley - Rivers,Austin",Lineups,,3,56.3133333333,-7.09233,2.02638,-2.02638,2.02638,2.02638,-12.15828,3.03957,,,,-3.03957,7,0.7
15,-3.03957,-1.01319,1.01319,-1.01319,1.01319,3.03957,0.093,-9.11871,1.01319,0.078,11.14509,6.07914,-0.04,17,2037 - 201599 - 201601 - 101108 - 200755,"Crawford,Jamal - Jordan,DeAndre - Mbah a Moute,Luc - Paul,Chris - Redick,JJ",Lineups,,3,53.9166666667,-2.02638,-12.15828,12.15828,11.14509,11.14509,-3.03957,1.01319,,,,-3.03957,14,0.824
16,10.1319,9.11871,-9.11871,3.03957,12.15828,4.05276,-0.035,-1.01319,6.07914,0.073,-6.07914,-9.11871,-0.194,12,201145 - 202325 - 201599 - 101108 - 200755,"Green,Jeff - Johnson,Wesley - Jordan,DeAndre - Paul,Chris - Redick,JJ",Lineups,,6,47.0733333333,-4.05276,-1.01319,1.01319,7.09233,7.09233,-1.01319,2.02638,,,,-3.03957,6,0.5
17,-2.02638,-2.02638,2.02638,-9.11871,10.1319,2.02638,-0.065,9.11871,-4.05276,-0.113,-1.01319,-3.03957,-0.098,13,2037 - 201145 - 201599 - 101108 - 200755,"Crawford,Jamal - Green,Jeff - Jordan,DeAndre - Paul,Chris - Redick,JJ",Lineups,,6,42.1116666667,4.05276,-2.02638,2.02638,-9.11871,-9.11871,-5.06595,1.01319,,,,-4.05276,7,0.538
18,0.0,6.07914,-6.07914,-4.05276,2.02638,2.02638,0.086,-2.02638,-1.01319,-0.001,-1.01319,2.02638,0.289,7,202332 - 2037 - 201145 - 203143 - 203085,"Aldrich,Cole - Crawford,Jamal - Green,Jeff - Prigioni,Pablo - Rivers,Austin",Lineups,,1,41.9333333333,-2.02638,2.02638,-2.02638,2.02638,2.02638,-6.07914,4.05276,,,,-4.05276,6,0.857
19,3.03957,6.07914,-6.07914,6.07914,12.15828,11.14509,0.256,-1.01319,2.02638,0.034,5.06595,7.09233,0.183,16,2037 - 202325 - 201599 - 203143 - 203085,"Crawford,Jamal - Johnson,Wesley - Jordan,DeAndre - Prigioni,Pablo - Rivers,Austin",Lineups,,3,40.565,-2.02638,-4.05276,4.05276,22.29018,22.29018,4.05276,-6.07914,,,,6.07914,13,0.813
20,-2.02638,4.05276,-4.05276,7.09233,-4.05276,2.02638,0.156,12.15828,13.17147,0.108,8.10552,2.02638,-0.214,15,2037 - 201145 - 202325 - 201599 - 101108,"Crawford,Jamal - Green,Jeff - Johnson,Wesley - Jordan,DeAndre - Paul,Chris",Lineups,,6,39.2866666667,7.09233,-12.15828,12.15828,30.3957,30.3957,14.18466,3.03957,,,,-5.06595,9,0.6
