,GAMECODE,GAME_DATE_EST,GAME_ID,GAME_SEQUENCE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,HOME_TEAM_LOSSES,HOME_TEAM_WINS,LARGEST_LEAD,LEAD_CHANGES,LEAGUE_ID,LIVE_PC_TIME,LIVE_PERIOD,LIVE_PERIOD_TIME_BCAST,NATL_TV_BROADCASTER_ABBREVIATION,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,SEASON,SERIES_LEADER,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TIMES_TIED,VISITOR_TEAM_ID,WH_STATUS
0,20160102/PHILAC,2016-01-02T00:00:00,0021500505,11.0,3.0,Final,1610612746.0,,,,,,     ,4.0,Q4       - ,,,,,2015,,,,,,1610612755.0,1.0
0,,,,,,,,,,5.0,3.0,00,,,,,10.0,24.0,54.0,,,PHI,Philadelphia,1610612755.0,4.0,,
1,,,,,,,,,,39.0,3.0,00,,,,,6.0,22.0,48.0,,,LAC,Los Angeles,1610612746.0,4.0,,
0,,2016-01-02T00:00:00,0021500505,,,,1610612746.0,0.0,2.0,,,,,,,,,,,,L.A. Clippers,,,,,1610612755.0,
