,GAMECODE,GAME_DATE_EST,GAME_ID,GAME_SEQUENCE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,HOME_TEAM_LOSSES,HOME_TEAM_WINS,LARGEST_LEAD,LEAD_CHANGES,LEAGUE_ID,LIVE_PC_TIME,LIVE_PERIOD,LIVE_PERIOD_TIME_BCAST,NATL_TV_BROADCASTER_ABBREVIATION,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,SEASON,SERIES_LEADER,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TIMES_TIED,VISITOR_TEAM_ID,WH_STATUS
0,20160410/LALHOU,2016-04-10T00:00:00,0021501195,2.0,3.0,Final,1610612745.0,,,,,,     ,4.0,Q4       - ,,,,,2015,,,,,,1610612747.0,1.0
0,,,,,,,,,,20.0,2.0,00,,,,,24.0,29.0,62.0,,,HOU,Houston,1610612745.0,7.0,,
1,,,,,,,,,,3.0,2.0,00,,,,,11.0,18.0,48.0,,,LAL,Los Angeles,1610612747.0,7.0,,
0,,2016-04-10T00:00:00,0021501195,,,,1610612745.0,0.0,4.0,,,,,,,,,,,,Houston,,,,,1610612747.0,
