@relation player_diff-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute AST numeric
@attribute BLK numeric
@attribute DREB numeric
@attribute FG3A numeric
@attribute FG3M numeric
@attribute FG3_PCT numeric
@attribute FGA numeric
@attribute FGM numeric
@attribute FG_PCT numeric
@attribute FTA numeric
@attribute FTM numeric
@attribute FT_PCT numeric
@attribute OREB numeric
@attribute PF numeric
@attribute PLUS_MINUS numeric
@attribute PTS numeric
@attribute REB numeric
@attribute STL numeric
@attribute TOV numeric
@attribute WL {-1,1}

@data
-136,0,-141,-485,-176,-25.968,-712,-254,-22.541,-172,-144,-42.844,-12,-118,467,-828,-153,-54,-89,1
53,-15,-25,27,17,8.972,195,100,11.36,7,8,3.917,10,62,35,225,-15,25,29,1
320,2,87,358,127,11.835,485,182,-7.362,86,92,27.42,-111,-55,145,583,-24,6,124,-1
66,-37,-60,154,60,3.794,310,138,-3.689,123,95,18.64,-45,-68,28,431,-105,1,46,-1
-12,-34,-148,0,0,0,-167,-93,-22.394,-68,-51,-15.784,-59,-94,19,-237,-207,-20,-30,1
-275,-95,-307,-67,-13,-1.748,-544,-298,-12.308,-271,-206,-32.104,-9,-83,75,-815,-316,16,-130,1
115,-123,-230,237,91,26.465,511,198,-12.306,-95,-32,0.308,-159,-83,-238,455,-389,6,11,-1
-68,-52,-157,3,1,1,-277,-161,-30.474,-140,-118,-33.935,-100,-106,12,-439,-257,-31,-38,1
4,12,71,-48,-19,-11.9,101,31,-2.494,-6,2,-0.866,10,31,60,45,81,-10,27,1
82,-23,-90,407,147,25.24,649,265,-5.658,50,50,13.551,-114,17,27,727,-204,91,40,-1
13,7,-79,76,33,6.183,101,31,-7.813,-53,-31,-4.701,-80,16,-117,64,-159,-6,-15,-1
-96,70,142,-407,-147,-25.24,-593,-195,14.246,73,18,-0.258,171,59,257,-519,313,-75,-25,-1
88,-3,65,264,97,13.39,337,130,-4.177,45,52,18.749,-138,7,11,409,-73,39,57,-1
83,2,46,117,45,17.683,312,122,2.327,-23,-17,-1.984,19,76,-16,272,65,31,34,-1
-81,3,-165,-337,-129,-26.842,-677,-293,-25.992,-123,-102,-29.719,-27,-87,352,-817,-192,-20,-104,-1
-113,26,-49,-237,-91,-26.465,-484,-204,-4.18,-69,-58,-18.08,52,-8,86,-557,3,-6,-28,-1
-18,-5,-29,124,47,5.071,116,29,1.185,-2,8,-0.51,-41,-17,-851,113,-70,-12,58,-1
403,41,369,399,139,23.335,863,367,26.172,192,163,48.921,53,113,223,1036,422,64,204,1
-13,-3,31,-83,-33,-5.4,234,105,2.319,83,50,8.505,55,21,38,227,86,84,31,1
118,8,107,457,170,18.242,390,142,5.448,23,36,18.154,-37,2,130,490,70,50,35,1
159,1,185,416,163,20.716,684,286,14.925,106,82,23.325,49,132,34,817,234,141,89,-1
94,-29,-100,12,3,-7.211,3,2,-14.151,119,98,5.608,-68,-110,3,105,-168,10,44,1
-27,69,302,-469,-176,-25.968,323,276,10.94,122,109,9.846,156,18,993,485,458,-18,8,1
81,56,342,-67,-22,-9.526,870,465,18.716,247,215,38.19,158,106,502,1123,500,19,75,1
117,-6,-158,-229,-83,-12.144,-437,-174,-12.676,-56,-61,-27.927,-113,-34,-80,-492,-271,25,20,-1
-13,-19,-179,102,38,0.35,294,136,1.611,-28,-27,-5.366,20,-12,140,283,-159,19,-29,-1
7,-2,89,-247,-85,0.497,77,94,4.169,-49,-40,-8.63,3,9,332,63,92,-31,-9,1
-118,-8,-107,-457,-170,-18.242,-390,-142,-5.448,-23,-36,-18.154,37,-2,-130,-490,-70,-50,-35,1
-218,-111,-392,188,63,3.19,-378,-268,-14.765,-271,-181,-21.604,-103,-167,-23,-654,-495,-57,-128,1
-92,-89,-349,122,42,10.167,-314,-194,-22.583,-192,-155,-28.934,-150,-171,108,-501,-499,-73,-117,-1
37,-84,-95,338,129,26.842,323,63,-15.745,-64,-4,-0.407,-183,-104,-864,251,-278,-13,31,-1
-8,-130,-423,121,59,18.867,-101,-67,-21.911,-217,-137,-33.906,-175,-185,-128,-212,-598,-8,-47,1
162,101,374,-235,-89,-9.59,74,134,10.409,138,51,-3.458,93,136,-332,230,467,42,95,-1
142,13,237,222,87,15.364,550,249,13.592,96,79,22.75,10,131,69,664,247,79,114,1
-52,-5,-92,-40,-12,-11.5,-73,-40,-10.004,-44,-19,-2.367,-91,-35,-131,-111,-183,-40,-27,1
76,-51,-209,41,30,3.251,210,130,2.206,82,84,12.367,-65,43,-253,374,-274,24,13,1
23,-37,-43,338,129,26.842,379,133,-7.157,59,64,12.886,-126,-28,-580,459,-169,3,46,-1
-4,-13,-93,-32,-52,-12.497,254,41,-9.93,120,106,5.976,-26,-62,-610,136,-119,-98,16,-1
275,-80,-185,239,98,28.823,85,-54,-18.079,-130,-57,-6.125,-186,-45,-92,-67,-371,2,32,1
-126,63,15,-499,-185,-30.242,-433,-96,14.524,35,-12,-6.199,152,46,432,-389,167,-118,-29,-1
-62,-41,-236,37,12,4.071,-311,-170,-34.533,-58,-35,-16.166,-161,-122,-159,-363,-397,-22,-67,-1
25,-10,18,-2,0,0,-14,-3,0.054,-92,-80,-16.424,22,-4,241,-86,40,5,2,1
272,88,234,-249,-103,-8.868,84,116,13.304,181,97,4.44,-18,149,-195,226,216,56,118,1
48,-8,142,16,0,0,619,275,-10.733,106,145,21.064,-43,-72,36,695,99,-4,15,1
-47,11,-116,-336,-129,-26.842,-640,-274,-10.902,-99,-87,-24.552,32,-12,416,-764,-84,-14,-65,-1
159,1,185,416,163,20.716,684,286,14.925,106,82,23.325,49,132,34,817,234,141,89,1
-12,6,139,210,86,6.357,-8,-10,2.032,-95,-89,-1.251,40,-48,416,-23,179,116,-47,1
-254,12,32,-114,-50,-11.423,-276,-97,-4.212,-11,-17,-14.335,16,-24,-508,-261,48,-18,-69,-1
-29,18,191,16,10,1.005,-142,-47,0.699,-105,-92,-1.826,1,-49,451,-176,192,54,-22,-1
-45,4,37,-115,-45,-17.683,-105,-27,10.851,112,86,20.957,54,-34,0,-13,91,-32,1,-1
-64,2,-220,-347,-126,-27.92,-402,-125,2.207,-8,10,-3.249,6,-46,-82,-366,-214,-39,-78,-1
35,28,189,-86,-23,-6.699,192,124,27.613,44,24,12,149,93,271,249,338,5,27,-1
-120,2,-131,-284,-100,-12.88,-595,-235,1.776,-162,-145,-30.149,107,22,196,-715,-24,-12,-58,1
79,45,262,15,0,0,730,386,10.951,240,207,36.556,101,17,575,979,363,19,45,1
-99,-9,-228,-139,-59,-10.831,-592,-287,-6.564,-213,-169,-18.504,-30,-56,-22,-802,-258,-17,-54,-1
-152,87,122,-390,-156,-31.171,-503,-168,11.608,-42,-85,-18.425,186,9,664,-577,308,-54,-49,1
43,19,-13,1,0,0,2,24,10.077,86,73,18.301,29,-9,46,121,16,14,-12,1
93,-42,-1,236,91,26.465,415,160,-8.862,-34,-16,-0.543,-117,-9,-100,395,-118,4,15,-1
-93,-28,-226,-20,-6,-4,-354,-174,-7.324,-164,-145,-28.77,-71,-80,-19,-499,-297,-47,-76,-1
-53,-8,27,112,25,-3.884,166,57,-0.295,74,66,14.854,-11,-41,-174,205,16,7,-2,-1
132,-40,-119,342,117,23.338,555,185,-9.431,106,119,20.476,-120,-29,220,606,-239,31,46,1
157,-28,71,238,100,28.732,310,134,10.347,22,15,7.424,-13,81,96,383,58,53,48,1
7,-1,24,41,12,11.5,18,-1,-3.092,33,25,0.168,4,22,-124,35,28,33,12,1
-52,34,294,220,78,17.448,227,76,19.83,-16,-23,18.276,80,96,111,207,374,9,10,-1
51,-26,-105,109,39,18.498,55,21,3.595,0,0,2.283,-47,-27,108,81,-152,25,-1,1
-137,-27,-311,-39,0,-2.251,-508,-208,-6.809,-227,-199,-21.576,-57,-63,19,-615,-368,-8,-64,-1
52,-34,-294,-220,-78,-17.448,-227,-76,-19.83,16,23,-18.276,-80,-96,-111,-207,-374,-9,-10,1
-29,13,-27,-296,-114,-14.842,-280,-109,-4.227,6,-20,-11.548,68,56,302,-352,41,81,-37,1
193,-1,-114,1,7,2.358,-288,-147,-0.575,-65,-53,-8.713,10,36,533,-340,-104,19,34,1
-2,97,279,0,0,0,-27,6,16.486,164,90,17.772,107,91,152,102,386,0,17,1
223,33,293,214,73,2.513,404,184,3.092,128,114,30.604,34,-18,223,555,327,35,123,-1
68,35,209,307,111,15.92,250,84,6.158,18,25,18.013,-6,-4,151,304,203,-38,42,-1
-75,77,160,-485,-176,-25.968,-296,1,21.673,16,-36,-11.218,199,90,957,-210,359,-14,-7,1
-45,-30,-67,81,22,9.526,-142,-103,-17.842,-93,-81,-19.935,-86,-80,27,-265,-153,-14,-18,1
92,-22,92,382,140,12.559,370,136,4.969,108,86,24.025,-19,-8,93,498,73,107,47,-1
-72,19,-96,-289,-110,-14.942,-535,-205,-3.445,-64,-60,-14.219,29,-16,265,-580,-67,0,-88,1
-169,16,34,-288,-99,-23.885,-552,-217,-5.128,-194,-163,-22.942,48,-91,309,-696,82,-25,-106,-1
14,-22,-38,49,19,11.9,37,20,2.63,-8,-7,1.216,-2,-6,-90,52,-40,7,-5,-1
232,5,22,94,30,-1.555,148,52,-3.185,41,40,8.671,27,-62,134,174,49,-33,67,-1
79,-10,-14,146,57,4.077,564,249,-0.891,121,95,21.274,-8,-37,103,650,-22,28,65,-1
-199,44,272,110,28,-0.903,208,92,4.265,90,58,12.183,65,-7,-319,270,337,28,4,-1
70,-128,-254,337,129,26.842,461,168,-10.547,-94,-32,-2.687,-146,-106,-477,433,-400,10,44,-1
134,23,290,363,122,24.051,803,354,28.75,231,190,43.976,62,183,233,1020,352,124,81,-1
167,-9,-103,1,-2,0.091,24,-26,-6.606,-32,-15,2.293,-21,-12,321,-69,-124,-31,36,1
63,-4,101,0,0,0,193,92,13.232,-3,-11,2.549,95,38,225,173,196,4,37,1
16,-24,-99,16,10,6.108,32,-4,5.381,-137,-103,1.21,-25,41,-181,-101,-124,-11,4,1
43,-45,67,212,82,21.771,316,121,-5.323,-14,-23,-2.706,-27,11,480,301,40,8,15,1
275,-22,3,211,81,10.899,497,198,2.275,28,24,12.5,-39,7,56,501,-36,-3,86,1
24,70,220,-96,-36,-5.043,-22,43,9.802,-66,-99,0.525,34,134,-152,-49,254,-16,76,-1
27,28,108,67,18,-1.575,-74,-34,1.647,20,13,3.036,5,34,228,-37,113,73,56,-1
8,-17,55,112,44,4.138,327,171,9.674,69,48,15.729,26,25,416,434,81,19,-1,1
-28,-71,-367,94,39,18.498,-675,-365,-7.356,-240,-207,-34.273,-148,-44,-467,-898,-515,6,-46,-1
109,28,287,266,104,18.394,544,228,15.635,101,71,23.184,80,126,55,631,367,53,96,-1
97,-31,-206,144,54,9.322,81,-2,-10.454,-42,-22,-3.184,-145,-37,-78,28,-351,-29,1,1
-20,50,10,-42,-15,-12,-244,-81,6.209,-54,-30,-1.215,-18,-36,63,-207,-8,-63,-14,-1
-130,-9,-217,-201,-79,-22.394,-740,-333,-25.617,-116,-99,-32.047,-22,-117,182,-844,-239,-21,-80,1
-197,20,206,17,-10,-5.273,234,132,3.18,126,88,12.223,75,-56,-356,342,281,30,-35,1
-48,47,25,-336,-129,-26.842,-365,-130,7.103,33,16,3.538,104,32,339,-373,129,-8,-48,1
-45,-5,-24,100,38,0.377,-50,-30,1.759,1,0,-2.995,13,-23,-239,-22,-11,4,33,-1
16,87,312,1,0,0,111,57,16.622,150,85,18.122,115,116,122,199,427,-3,39,1
140,11,118,406,147,25.24,947,425,27.491,114,88,30.384,39,132,255,1085,157,108,98,1
161,-114,-366,128,48,10.472,204,67,-28.446,-54,-4,-14.498,-164,-150,-135,178,-530,44,39,1
132,-40,-119,342,117,23.338,555,185,-9.431,106,119,20.476,-120,-29,220,606,-239,31,46,1
-69,-40,-260,-4,0,-7.429,-329,-169,-31.441,-91,-60,-16.334,-165,-144,-35,-398,-425,-55,-79,-1
-21,68,153,-125,-48,-17.4,191,151,22.291,141,74,20.46,170,69,600,328,323,16,37,-1
-3,-7,-73,-316,-116,-10.616,-460,-182,0.996,-90,-109,-27.664,-27,66,-120,-589,-100,72,-12,1
40,-19,-255,-71,-22,-2.728,-276,-151,-7.235,-128,-96,-22.407,-87,10,-38,-420,-342,-44,1,-1
-30,-7,-127,-92,-38,-5.002,160,99,0.278,-38,-30,-5.941,-19,-13,175,130,-146,-43,-4,-1
-73,-7,-45,-120,-38,-13.682,-250,-96,-14.599,-85,-63,-18.739,-14,-62,198,-293,-59,-29,-43,1
-352,9,-129,-397,-139,-23.335,-489,-178,10.4,-27,-37,-11.164,85,37,-262,-532,-44,-44,-138,-1
-263,46,52,-237,-98,-28.823,-194,-33,6.472,82,68,8.934,71,-53,-401,-96,123,-11,-74,-1
104,-28,-47,172,54,6.202,378,146,2.937,203,175,25.276,-59,40,-323,521,-106,-9,94,-1
-71,-71,-381,83,39,11.198,-857,-459,-25.494,-265,-230,-43.19,-168,-85,-578,-1109,-549,-24,-73,-1
-201,-103,-256,129,63,12.717,-214,-159,-9.84,-278,-186,-17.561,-90,-116,12,-441,-346,-69,-126,-1
55,32,240,224,78,10.52,484,189,8.477,101,75,26.518,49,17,189,531,289,46,73,1
-7,1,-24,-41,-12,-11.5,-18,1,3.092,-33,-25,-0.168,-4,-22,124,-35,-28,-33,-12,-1
48,-62,-284,391,147,25.24,-26,-80,-3.513,-179,-163,-20.806,-128,13,-293,-176,-412,79,10,-1
209,-25,-213,17,17,8.466,-256,-151,4.806,-202,-156,-7.503,-15,77,352,-441,-228,8,38,-1
53,-123,-384,109,39,18.498,82,15,-12.891,-164,-90,-15.489,-154,-118,-44,-21,-538,25,-18,1
161,2,176,450,166,18.342,645,238,4.666,93,76,20.825,2,74,167,718,178,131,86,1
-82,0,-94,-194,-75,-4.544,162,98,1.576,283,232,5.329,24,10,-222,353,-70,45,-73,-1
-35,-23,6,-148,-38,-1.398,74,94,-3.323,130,102,0.52,-36,-133,241,252,-30,-42,-43,1
108,-121,-319,484,176,25.968,434,104,-16.475,-46,8,8.938,-162,-92,-570,392,-481,37,20,-1
21,-48,-28,41,12,11.5,-38,-71,-11.68,-90,-43,-13.125,-53,-54,-408,-173,-81,17,-3,-1
47,-91,-211,-1,0,0,82,35,-3.39,-153,-96,-15.573,-20,-78,103,-26,-231,7,-2,1
132,-16,-106,22,0,-5.933,224,84,-5.442,-2,2,6.292,-28,-80,-130,170,-134,-49,33,-1
263,103,410,-1,-11,-4.75,643,342,10.425,347,244,33.358,85,151,-206,917,495,50,155,1
6,-43,-158,-111,-35,-1.455,80,55,-3.69,-25,-5,-3.47,-75,-29,-214,70,-233,-47,-38,1
-107,2,54,-4,0,6.928,-257,-113,11.353,-117,-98,-8.242,31,79,-78,-324,85,-37,-63,-1
-199,44,272,110,28,-0.903,208,92,4.265,90,58,12.183,65,-7,-319,270,337,28,4,1
-33,27,-84,-41,-12,-11.5,-163,-56,-2.083,-22,-11,-0.045,-80,-30,-91,-135,-164,-12,-17,1
53,7,-47,-356,-128,-15.496,-230,-37,-11.971,-8,-12,-23.436,-2,-58,435,-214,-49,7,19,-1
385,35,319,398,139,23.335,801,341,22.695,183,155,44.421,46,82,249,976,365,56,194,1
11,51,294,52,35,10.982,84,54,8.615,18,0,7.513,88,80,249,143,382,35,40,1
