,GAMECODE,GAME_DATE_EST,GAME_ID,GAME_SEQUENCE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,HOME_TEAM_LOSSES,HOME_TEAM_WINS,LARGEST_LEAD,LEAD_CHANGES,LEAGUE_ID,LIVE_PC_TIME,LIVE_PERIOD,LIVE_PERIOD_TIME_BCAST,NATL_TV_BROADCASTER_ABBREVIATION,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,SEASON,SERIES_LEADER,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TIMES_TIED,VISITOR_TEAM_ID,WH_STATUS
0,20151123/SACCHA,2015-11-23T00:00:00,0021500202,1.0,3.0,Final,1610612766.0,,,,,,     ,5.0,Q5       - ,,,,,2015,,,,,,1610612758.0,1.0
0,,,,,,,,,,8.0,6.0,00,,,,,8.0,19.0,62.0,,,CHA,Charlotte,1610612766.0,10.0,,
1,,,,,,,,,,22.0,6.0,00,,,,,14.0,12.0,50.0,,,SAC,Sacramento,1610612758.0,10.0,,
0,,2015-11-23T00:00:00,0021500202,,,,1610612766.0,0.0,2.0,,,,,,,,,,,,Charlotte,,,,,1610612758.0,
