,BLK,BLKA,COMMENT,GAME_ID,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID
0,0.0,0.0,,0021501037,34:43,13.0,11.0,10.0,30.0,2.0,2.0,202329,Al-Farouq Aminu,0.0,0.0,0.0,0.0,F,POR,Portland,1610612757
1,0.0,0.0,,0021501037,14:05,7.0,2.0,4.0,6.0,2.0,1.0,203943,Noah Vonleh,0.0,0.0,0.0,0.0,F,POR,Portland,1610612757
2,1.0,1.0,,0021501037,31:44,7.0,5.0,7.0,18.0,5.0,5.0,203486,Mason Plumlee,3.0,2.0,6.0,10.0,C,POR,Portland,1610612757
3,1.0,2.0,,0021501037,43:04,15.0,11.0,14.0,36.0,2.0,2.0,203468,CJ McCollum,3.0,2.0,8.0,4.0,G,POR,Portland,1610612757
4,0.0,3.0,,0021501037,44:05,11.0,13.0,9.0,32.0,2.0,4.0,203081,Damian Lillard,3.0,4.0,5.0,8.0,G,POR,Portland,1610612757
5,1.0,0.0,,0021501037,25:01,7.0,6.0,8.0,12.0,0.0,3.0,201945,Gerald Henderson,0.0,3.0,0.0,2.0,,POR,Portland,1610612757
6,0.0,1.0,,0021501037,15:10,5.0,4.0,7.0,12.0,3.0,0.0,203090,Maurice Harkless,4.0,0.0,0.0,6.0,,POR,Portland,1610612757
7,1.0,0.0,,0021501037,20:02,10.0,8.0,9.0,16.0,2.0,2.0,202334,Ed Davis,2.0,0.0,0.0,4.0,,POR,Portland,1610612757
8,0.0,1.0,,0021501037,36:25,10.0,13.0,12.0,26.0,4.0,2.0,203459,Allen Crabbe,6.0,3.0,6.0,0.0,,POR,Portland,1610612757
9,0.0,0.0,,0021501037,0:40,0.0,2.0,0.0,2.0,0.0,0.0,203148,Brian Roberts,0.0,0.0,0.0,0.0,,POR,Portland,1610612757
10,,,DNP - Coach's Decision                  ,0021501037,,,,,,,,1626192,Pat Connaughton,,,,,,POR,Portland,1610612757
11,,,DNP - Coach's Decision                  ,0021501037,,,,,,,,2549,Chris Kaman,,,,,,POR,Portland,1610612757
12,,,NWT - Left Dislocated Shoulder          ,0021501037,,,,,,,,203086,Meyers Leonard,,,,,,POR,Portland,1610612757
13,0.0,1.0,,0021501037,41:33,16.0,11.0,17.0,20.0,4.0,2.0,202083,Wesley Matthews,0.0,0.0,0.0,0.0,F,DAL,Dallas,1610612742
14,0.0,1.0,,0021501037,39:11,15.0,14.0,18.0,22.0,5.0,4.0,1717,Dirk Nowitzki,7.0,2.0,9.0,6.0,F,DAL,Dallas,1610612742
15,0.0,0.0,,0021501037,4:51,0.0,5.0,2.0,2.0,0.0,0.0,2585,Zaza Pachulia,0.0,0.0,0.0,0.0,C,DAL,Dallas,1610612742
16,0.0,0.0,,0021501037,42:39,13.0,9.0,16.0,24.0,0.0,7.0,101114,Deron Williams,2.0,9.0,2.0,6.0,G,DAL,Dallas,1610612742
17,0.0,0.0,,0021501037,25:25,3.0,7.0,13.0,14.0,2.0,1.0,101109,Raymond Felton,0.0,0.0,0.0,4.0,G,DAL,Dallas,1610612742
18,0.0,0.0,,0021501037,5:38,3.0,3.0,8.0,8.0,0.0,0.0,1626147,Justin Anderson,0.0,0.0,0.0,0.0,,DAL,Dallas,1610612742
19,1.0,0.0,,0021501037,15:30,13.0,5.0,13.0,18.0,2.0,0.0,101135,David Lee,0.0,0.0,0.0,2.0,,DAL,Dallas,1610612742
20,0.0,0.0,,0021501037,21:02,13.0,5.0,14.0,22.0,1.0,0.0,2734,Devin Harris,0.0,0.0,3.0,2.0,,DAL,Dallas,1610612742
21,1.0,1.0,,0021501037,12:32,5.0,0.0,5.0,10.0,2.0,1.0,101111,Charlie Villanueva,2.0,0.0,0.0,4.0,,DAL,Dallas,1610612742
22,0.0,0.0,,0021501037,24:00,16.0,7.0,9.0,16.0,0.0,1.0,200826,Jose Juan Barea,3.0,0.0,0.0,6.0,,DAL,Dallas,1610612742
23,6.0,1.0,,0021501037,32:39,8.0,4.0,10.0,14.0,5.0,6.0,1626257,Salah Mejri,3.0,4.0,2.0,8.0,,DAL,Dallas,1610612742
24,,,DNP - Coach's Decision                  ,0021501037,,,,,,,,201580,JaVale McGee,,,,,,DAL,Dallas,1610612742
25,,,DNP - Coach's Decision                  ,0021501037,,,,,,,,203939,Dwight Powell,,,,,,DAL,Dallas,1610612742
