,GAMECODE,GAME_DATE_EST,GAME_ID,GAME_SEQUENCE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,HOME_TEAM_LOSSES,HOME_TEAM_WINS,LARGEST_LEAD,LEAD_CHANGES,LEAGUE_ID,LIVE_PC_TIME,LIVE_PERIOD,LIVE_PERIOD_TIME_BCAST,NATL_TV_BROADCASTER_ABBREVIATION,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,SEASON,SERIES_LEADER,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TIMES_TIED,VISITOR_TEAM_ID,WH_STATUS
0,20160106/UTASAS,2016-01-06T00:00:00,0021500532,8.0,3.0,Final,1610612759.0,,,,,,     ,4.0,Q4       - ,,,,,2015,,,,,,1610612762.0,1.0
0,,,,,,,,,,2.0,1.0,00,,,,,11.0,12.0,36.0,,,UTA,Utah,1610612762.0,1.0,,
1,,,,,,,,,,27.0,1.0,00,,,,,14.0,5.0,68.0,,,SAS,San Antonio,1610612759.0,1.0,,
0,,2016-01-06T00:00:00,0021500532,,,,1610612759.0,0.0,4.0,,,,,,,,,,,,San Antonio,,,,,1610612762.0,
