,AST,BLK,BLKA,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_ID,GROUP_NAME,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,W,W_PCT
60,-4.05276,0.0,0.0,3.03957,1.01319,2.02638,0.194,-1.01319,1.01319,0.063,-1.01319,-1.01319,-1.0,2,202683 - 201627 - 200779 - 1626166 - 202713,"Kanter,Enes - Morrow,Anthony - Novak,Steve - Payne,Cameron - Singler,Kyle",Lineups,,0,11.7666666667,0.0,-1.01319,1.01319,3.03957,3.03957,3.03957,2.02638,,,,1.01319,2,1.0
61,4.05276,0.0,0.0,7.09233,-5.06595,-1.01319,-0.024,-2.02638,5.06595,0.263,4.05276,2.02638,-0.133,5,203500 - 201142 - 201627 - 203460 - 201566,"Adams,Steven - Durant,Kevin - Morrow,Anthony - Roberson,Andre - Westbrook,Russell",Lineups,,1,11.7316666667,-2.02638,-4.05276,4.05276,11.14509,11.14509,5.06595,-1.01319,,,,2.02638,4,0.8
62,3.03957,-1.01319,1.01319,0.0,4.05276,1.01319,-0.156,0.0,4.05276,0.167,-2.02638,-3.03957,-0.25,5,201142 - 200751 - 201586 - 203079 - 201566,"Durant,Kevin - Foye,Randy - Ibaka,Serge - Waiters,Dion - Westbrook,Russell",Lineups,,3,11.6333333333,-1.01319,5.06595,-5.06595,6.07914,6.07914,-1.01319,0.0,,,,0.0,2,0.4
63,0.0,-3.03957,3.03957,0.0,-5.06595,0.0,0.139,3.03957,2.02638,0.048,-1.01319,-1.01319,-0.05,4,201571 - 201586 - 202683 - 201627 - 202713,"Augustin,D.J. - Ibaka,Serge - Kanter,Enes - Morrow,Anthony - Singler,Kyle",Lineups,,0,11.6183333333,2.02638,0.0,0.0,3.03957,3.03957,2.02638,0.0,,,,1.01319,4,1.0
64,3.03957,0.0,0.0,1.01319,5.06595,2.02638,-0.071,3.03957,0.0,-0.078,-5.06595,-5.06595,-0.1,4,201571 - 202683 - 201627 - 202713 - 203079,"Augustin,D.J. - Kanter,Enes - Morrow,Anthony - Singler,Kyle - Waiters,Dion",Lineups,,0,11.5333333333,4.05276,5.06595,-5.06595,-3.03957,-3.03957,5.06595,0.0,,,,4.05276,4,1.0
65,-1.01319,-3.03957,3.03957,2.02638,-3.03957,0.0,0.167,-3.03957,-1.01319,0.012,-6.07914,-7.09233,-0.5,6,2555 - 200751 - 202683 - 201627 - 1626166,"Collison,Nick - Foye,Randy - Kanter,Enes - Morrow,Anthony - Payne,Cameron",Lineups,,3,11.4666666667,0.0,4.05276,-4.05276,-9.11871,-9.11871,2.02638,0.0,,,,6.07914,3,0.5
66,-2.02638,1.01319,-1.01319,0.0,2.02638,-2.02638,-0.375,-1.01319,-3.03957,-0.144,-4.05276,-2.02638,0.333,4,201142 - 200751 - 202683 - 203460 - 201566,"Durant,Kevin - Foye,Randy - Kanter,Enes - Roberson,Andre - Westbrook,Russell",Lineups,,0,11.2166666667,0.0,2.02638,-2.02638,-10.1319,-10.1319,0.0,-1.01319,,,,0.0,4,1.0
67,8.10552,2.02638,-2.02638,7.09233,1.01319,1.01319,0.15,-1.01319,8.10552,0.348,-9.11871,-8.10552,0.083,6,201586 - 202683 - 201627 - 203460 - 201566,"Ibaka,Serge - Kanter,Enes - Morrow,Anthony - Roberson,Andre - Westbrook,Russell",Lineups,,1,11.1666666667,0.0,6.07914,-6.07914,9.11871,9.11871,7.09233,-1.01319,,,,1.01319,5,0.833
68,-3.03957,1.01319,-1.01319,2.02638,0.0,-1.01319,-0.111,-1.01319,-1.01319,-0.026,3.03957,3.03957,0.15,5,201142 - 200751 - 202683 - 203460 - 203079,"Durant,Kevin - Foye,Randy - Kanter,Enes - Roberson,Andre - Waiters,Dion",Lineups,,3,11.0666666667,2.02638,0.0,0.0,0.0,0.0,4.05276,-2.02638,,,,3.03957,2,0.4
69,2.02638,3.03957,-3.03957,-1.01319,0.0,0.0,0.0,-6.07914,-1.01319,0.11,-7.09233,-6.07914,-0.278,4,201142 - 201586 - 201627 - 203460 - 201566,"Durant,Kevin - Ibaka,Serge - Morrow,Anthony - Roberson,Andre - Westbrook,Russell",Lineups,,1,10.9033333333,-4.05276,3.03957,-3.03957,-8.10552,-8.10552,-5.06595,-1.01319,,,,1.01319,3,0.75
70,2.02638,0.0,0.0,0.0,3.03957,0.0,-0.214,13.17147,9.11871,0.196,-9.11871,-6.07914,0.25,2,203500 - 201571 - 201142 - 203079 - 201566,"Adams,Steven - Augustin,D.J. - Durant,Kevin - Waiters,Dion - Westbrook,Russell",Lineups,,0,10.7983333333,2.02638,4.05276,-4.05276,12.15828,12.15828,2.02638,0.0,,,,-2.02638,2,1.0
71,-4.05276,-3.03957,3.03957,-1.01319,5.06595,-1.01319,-0.542,4.05276,0.0,-0.063,8.10552,4.05276,0.0,4,203500 - 201142 - 202683 - 203079 - 201566,"Adams,Steven - Durant,Kevin - Kanter,Enes - Waiters,Dion - Westbrook,Russell",Lineups,,1,10.78,4.05276,-4.05276,4.05276,3.03957,3.03957,3.03957,2.02638,,,,-2.02638,3,0.75
72,0.0,1.01319,-1.01319,-2.02638,1.01319,0.0,-0.048,3.03957,1.01319,-0.022,-16.21104,-15.19785,0.053,7,201142 - 200751 - 201586 - 203460 - 201566,"Durant,Kevin - Foye,Randy - Ibaka,Serge - Roberson,Andre - Westbrook,Russell",Lineups,,4,10.4216666667,0.0,9.11871,-9.11871,-13.17147,-13.17147,-2.02638,-1.01319,,,,1.01319,3,0.429
73,2.02638,1.01319,-1.01319,3.03957,0.0,-1.01319,-0.167,-4.05276,0.0,0.084,-3.03957,-1.01319,-0.333,4,203500 - 201571 - 201142 - 201586 - 203079,"Adams,Steven - Augustin,D.J. - Durant,Kevin - Ibaka,Serge - Waiters,Dion",Lineups,,1,10.4166666667,0.0,-3.03957,3.03957,-2.02638,-2.02638,3.03957,-3.03957,,,,5.06595,3,0.75
74,1.01319,0.0,0.0,0.0,0.0,-4.05276,-1.0,-4.05276,-3.03957,-0.074,-4.05276,-6.07914,-0.338,2,201571 - 2555 - 202683 - 1626166 - 203079,"Augustin,D.J. - Collison,Nick - Kanter,Enes - Payne,Cameron - Waiters,Dion",Lineups,,1,10.2666666667,0.0,0.0,0.0,-16.21104,-16.21104,0.0,-2.02638,,,,6.07914,1,0.5
75,0.0,1.01319,-1.01319,-3.03957,2.02638,1.01319,0.0,3.03957,0.0,-0.089,-4.05276,-1.01319,0.429,5,201586 - 202683 - 201627 - 1626166 - 203079,"Ibaka,Serge - Kanter,Enes - Morrow,Anthony - Payne,Cameron - Waiters,Dion",Lineups,,0,10.25,0.0,3.03957,-3.03957,0.0,0.0,-3.03957,0.0,,,,-1.01319,5,1.0
76,4.05276,-1.01319,1.01319,6.07914,0.0,2.02638,0.4,0.0,5.06595,0.313,-9.11871,-8.10552,-0.8,3,2555 - 200751 - 1737 - 201627 - 1626166,"Collison,Nick - Foye,Randy - Mohammed,Nazr - Morrow,Anthony - Payne,Cameron",Lineups,,0,10.0833333333,0.0,5.06595,-5.06595,4.05276,4.05276,6.07914,0.0,,,,2.02638,3,1.0
77,-2.02638,1.01319,-1.01319,2.02638,1.01319,-1.01319,-0.333,5.06595,3.03957,0.054,-4.05276,0.0,0.571,4,203500 - 201586 - 201627 - 1626166 - 201566,"Adams,Steven - Ibaka,Serge - Morrow,Anthony - Payne,Cameron - Westbrook,Russell",Lineups,,2,9.93333333333,0.0,2.02638,-2.02638,5.06595,5.06595,2.02638,0.0,,,,0.0,2,0.5
