,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
0,0,1,4,0,0,0.0,5,2,0.4,6,4,0.667,"APR 12, 2016",0021501215,SAS vs. OKC,19,1,1,1,8,200746,5,22015,0,1,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
1,1,1,6,0,0,0.0,18,11,0.611,2,2,1.0,"APR 10, 2016",0021501201,SAS vs. GSW,33,4,0,-14,24,200746,10,22015,0,1,1,L,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
2,2,0,1,0,0,0.0,16,5,0.313,1,1,1.0,"APR 07, 2016",0021501177,SAS @ GSW,29,2,2,-13,11,200746,3,22015,2,2,1,L,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
3,0,0,4,0,0,0.0,13,7,0.538,0,0,0.0,"APR 05, 2016",0021501161,SAS @ UTA,36,3,1,6,14,200746,7,22015,4,2,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
4,1,0,11,0,0,0.0,18,12,0.667,7,7,1.0,"APR 02, 2016",0021501140,SAS vs. TOR,38,4,2,8,31,200746,15,22015,1,3,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
5,1,1,5,0,0,0.0,10,3,0.3,6,5,0.833,"MAR 30, 2016",0021501118,SAS vs. NOP,32,1,2,12,11,200746,6,22015,1,0,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
6,3,2,9,0,0,0.0,16,11,0.688,11,9,0.818,"MAR 28, 2016",0021501100,SAS @ MEM,31,4,0,18,31,200746,13,22015,0,1,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
7,1,3,7,0,0,0.0,16,12,0.75,9,8,0.889,"MAR 25, 2016",0021501078,SAS vs. MEM,33,5,1,17,32,200746,12,22015,2,1,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
8,1,1,3,0,0,0.0,9,4,0.444,0,0,0.0,"MAR 23, 2016",0021501063,SAS vs. MIA,25,2,1,20,8,200746,5,22015,2,2,1,W,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
9,5,1,10,0,0,0.0,17,9,0.529,0,0,0.0,"MAR 21, 2016",0021501043,SAS @ CHA,35,2,2,7,18,200746,12,22015,0,3,1,L,LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
