,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,GAME_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,REB,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VIDEO_AVAILABLE,WL
47,25,5,36,25,10,0.4,95,48,0.505,19,16,0.842,2016-04-12,0021501214,TOR vs. PHI,240,16,20,24,122,52,22015,11,TOR,1610612761,Toronto Raptors,14,1,W
146,26,6,34,25,11,0.44,87,46,0.529,25,19,0.76,2016-02-22,0021500835,TOR @ NYK,240,13,19,27,122,47,22015,7,TOR,1610612761,Toronto Raptors,7,1,W
153,23,5,28,29,11,0.379,83,46,0.554,17,12,0.706,2016-01-20,0021500633,TOR vs. BOS,240,9,15,6,115,37,22015,7,TOR,1610612761,Toronto Raptors,13,1,W
411,24,4,28,24,13,0.542,85,43,0.506,18,13,0.722,2016-01-18,0021500621,TOR vs. BKN,240,8,17,12,112,36,22015,8,TOR,1610612761,Toronto Raptors,8,1,W
468,22,7,39,18,5,0.278,89,43,0.483,31,28,0.903,2015-11-11,0021500115,TOR @ PHI,240,17,18,16,119,56,22015,7,TOR,1610612761,Toronto Raptors,8,1,W
560,21,8,24,31,13,0.419,92,42,0.457,19,16,0.842,2016-01-03,0021500507,TOR vs. CHI,240,13,19,-2,113,37,22015,6,TOR,1610612761,Toronto Raptors,9,1,L
564,31,10,35,29,13,0.448,81,42,0.519,19,14,0.737,2015-12-26,0021500441,TOR @ MIL,240,9,17,21,111,44,22015,7,TOR,1610612761,Toronto Raptors,9,1,W
612,24,10,41,37,13,0.351,93,41,0.441,15,8,0.533,2016-04-13,0021501218,TOR @ BKN,240,16,12,7,103,57,22015,5,TOR,1610612761,Toronto Raptors,9,1,W
673,21,7,26,26,10,0.385,85,41,0.482,26,22,0.846,2016-02-24,0021500849,TOR vs. MIN,240,13,22,9,114,39,22015,7,TOR,1610612761,Toronto Raptors,13,1,W
695,19,3,36,22,12,0.545,83,41,0.494,26,18,0.692,2016-01-24,0021500666,TOR vs. LAC,240,8,26,18,112,44,22015,8,TOR,1610612761,Toronto Raptors,15,1,W
708,19,7,31,17,5,0.294,75,41,0.547,27,21,0.778,2016-01-09,0021500554,TOR @ PHI,240,6,16,13,108,37,22015,7,TOR,1610612761,Toronto Raptors,13,1,W
727,18,5,32,21,8,0.381,80,41,0.513,22,18,0.818,2015-12-18,0021500390,TOR @ MIA,240,6,12,14,108,38,22015,11,TOR,1610612761,Toronto Raptors,7,1,W
