,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,GAME_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,REB,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VIDEO_AVAILABLE,WL
42,28,6,41,23,12,0.522,81,49,0.605,25,20,0.8,2016-01-02,0021500505,LAC vs. PHI,240,6,17,31,130,47,22015,7,LAC,1610612746,Los Angeles Clippers,15,1,W
110,28,6,32,37,22,0.595,91,47,0.516,33,24,0.727,2016-01-18,0021500624,LAC vs. HOU,265,9,30,8,140,41,22015,10,LAC,1610612746,Los Angeles Clippers,13,1,W
213,26,6,39,32,17,0.531,84,45,0.536,19,13,0.684,2016-01-31,0021500714,LAC vs. CHI,240,7,15,27,120,46,22015,8,LAC,1610612746,Los Angeles Clippers,11,1,W
260,29,5,36,25,11,0.44,84,44,0.524,18,15,0.833,2016-03-28,0021501106,LAC vs. BOS,240,9,23,24,114,45,22015,13,LAC,1610612746,Los Angeles Clippers,15,1,W
278,29,10,43,24,13,0.542,80,44,0.55,35,23,0.657,2016-02-22,0021500839,LAC vs. PHX,240,10,20,40,124,53,22015,9,LAC,1610612746,Los Angeles Clippers,18,1,W
284,25,9,35,30,12,0.4,85,44,0.518,50,34,0.68,2016-02-10,0021500792,LAC @ BOS,265,9,29,-5,134,44,22015,7,LAC,1610612746,Los Angeles Clippers,14,1,L
318,29,4,29,19,6,0.316,97,44,0.454,15,11,0.733,2015-12-14,0021500359,LAC @ DET,265,10,22,2,105,39,22015,9,LAC,1610612746,Los Angeles Clippers,10,1,W
333,21,2,26,29,13,0.448,88,44,0.5,24,16,0.667,2015-11-19,0021500177,LAC vs. GSW,240,9,25,-7,117,35,22015,11,LAC,1610612746,Los Angeles Clippers,11,1,L
344,23,6,34,31,9,0.29,96,43,0.448,12,10,0.833,2016-04-13,0021501229,LAC @ PHX,240,6,20,-9,105,40,22015,9,LAC,1610612746,Los Angeles Clippers,15,1,L
353,27,4,34,19,8,0.421,85,43,0.506,33,20,0.606,2016-04-03,0021501147,LAC vs. WAS,240,10,17,5,114,44,22015,9,LAC,1610612746,Los Angeles Clippers,11,1,W
364,31,7,26,30,12,0.4,76,43,0.566,32,24,0.75,2016-03-16,0021501009,LAC @ HOU,240,7,20,16,122,33,22015,9,LAC,1610612746,Los Angeles Clippers,11,1,W
374,18,4,30,29,9,0.31,89,43,0.483,26,22,0.846,2016-02-26,0021500867,LAC @ SAC,240,11,27,10,117,41,22015,6,LAC,1610612746,Los Angeles Clippers,8,1,W
403,27,3,33,23,13,0.565,76,43,0.566,24,17,0.708,2016-01-22,0021500648,LAC @ NYK,240,3,17,28,116,36,22015,10,LAC,1610612746,Los Angeles Clippers,11,1,W
448,28,0,33,24,8,0.333,86,43,0.5,18,11,0.611,2015-12-12,0021500344,LAC @ BKN,240,7,21,5,105,40,22015,12,LAC,1610612746,Los Angeles Clippers,12,1,W
471,24,4,31,22,8,0.364,88,43,0.489,22,14,0.636,2015-11-04,0021500069,LAC @ GSW,240,10,26,-4,108,41,22015,6,LAC,1610612746,Los Angeles Clippers,13,1,L
487,22,4,21,29,16,0.552,76,42,0.553,22,17,0.773,2016-03-31,0021501126,LAC @ OKC,240,5,17,-2,117,26,22015,9,LAC,1610612746,Los Angeles Clippers,14,1,L
522,24,2,34,36,13,0.361,94,42,0.447,18,15,0.833,2016-02-20,0021500822,LAC vs. GSW,240,15,24,-3,112,49,22015,9,LAC,1610612746,Los Angeles Clippers,14,1,L
556,26,3,39,36,12,0.333,89,42,0.472,34,18,0.529,2016-01-10,0021500558,LAC vs. NOP,265,8,24,3,114,47,22015,8,LAC,1610612746,Los Angeles Clippers,14,1,W
559,24,6,32,23,11,0.478,83,42,0.506,17,14,0.824,2016-01-06,0021500535,LAC @ POR,240,10,22,11,109,42,22015,7,LAC,1610612746,Los Angeles Clippers,10,1,W
598,29,5,30,22,4,0.182,88,42,0.477,25,17,0.68,2015-11-07,0021500093,LAC vs. HOU,240,11,23,-4,105,41,22015,8,LAC,1610612746,Los Angeles Clippers,12,1,L
607,20,9,36,19,6,0.316,80,42,0.525,31,21,0.677,2015-10-28,0021500016,LAC @ SAC,240,6,19,7,111,42,22015,8,LAC,1610612746,Los Angeles Clippers,15,1,W
613,29,7,33,25,12,0.48,75,41,0.547,21,16,0.762,2016-04-12,0021501216,LAC vs. MEM,240,8,19,26,110,41,22015,11,LAC,1610612746,Los Angeles Clippers,11,1,W
653,29,4,27,34,12,0.353,81,41,0.506,23,14,0.609,2016-03-09,0021500955,LAC @ OKC,240,2,17,-12,108,29,22015,11,LAC,1610612746,Los Angeles Clippers,10,1,L
667,22,4,39,23,9,0.391,83,41,0.494,16,14,0.875,2016-02-29,0021500890,LAC vs. BKN,240,8,22,10,105,47,22015,8,LAC,1610612746,Los Angeles Clippers,12,1,W
718,23,4,34,23,7,0.304,78,41,0.526,25,19,0.76,2015-12-28,0021500461,LAC @ WAS,240,3,18,17,108,37,22015,11,LAC,1610612746,Los Angeles Clippers,16,1,W
724,21,3,35,22,7,0.318,87,41,0.471,14,10,0.714,2015-12-21,0021500418,LAC vs. OKC,240,10,15,-1,99,45,22015,7,LAC,1610612746,Los Angeles Clippers,13,1,L
784,26,4,40,20,7,0.35,78,40,0.513,26,16,0.615,2016-04-05,0021501164,LAC vs. LAL,240,6,17,22,103,46,22015,11,LAC,1610612746,Los Angeles Clippers,14,1,W
827,26,3,33,32,9,0.281,98,40,0.408,21,14,0.667,2016-03-02,0021500907,LAC vs. OKC,240,12,13,5,103,45,22015,11,LAC,1610612746,Los Angeles Clippers,6,1,W
845,15,8,38,27,8,0.296,74,40,0.541,23,19,0.826,2016-02-05,0021500752,LAC @ ORL,240,6,23,14,107,44,22015,13,LAC,1610612746,Los Angeles Clippers,22,1,W
858,20,9,33,26,8,0.308,81,40,0.494,24,17,0.708,2016-01-29,0021500706,LAC vs. LAL,240,5,19,12,105,38,22015,10,LAC,1610612746,Los Angeles Clippers,9,1,W
874,26,5,33,25,11,0.44,94,40,0.426,16,13,0.813,2016-01-13,0021500586,LAC vs. MIA,240,10,25,14,104,43,22015,18,LAC,1610612746,Los Angeles Clippers,8,1,W
878,19,9,34,31,8,0.258,91,40,0.44,10,9,0.9,2016-01-09,0021500550,LAC vs. CHA,240,13,19,14,97,47,22015,6,LAC,1610612746,Los Angeles Clippers,9,1,W
926,27,7,44,19,7,0.368,83,40,0.482,30,24,0.8,2015-11-27,0021500238,LAC vs. NOP,240,5,20,21,111,49,22015,6,LAC,1610612746,Los Angeles Clippers,13,1,W
938,17,3,25,26,9,0.346,90,40,0.444,28,15,0.536,2015-11-12,0021500126,LAC @ PHX,240,12,17,-14,104,37,22015,13,LAC,1610612746,Los Angeles Clippers,15,1,L
1011,18,7,42,32,12,0.375,83,39,0.47,29,19,0.655,2016-03-07,0021500942,LAC @ DAL,240,6,25,19,109,48,22015,10,LAC,1610612746,Los Angeles Clippers,10,1,W
1032,23,7,37,25,12,0.48,78,39,0.5,20,15,0.75,2016-02-18,0021500804,LAC vs. SAS,240,8,20,19,105,45,22015,8,LAC,1610612746,Los Angeles Clippers,20,1,W
