,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,GAME_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,REB,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VIDEO_AVAILABLE,WL
8,34,2,30,21,9,0.429,86,52,0.605,13,10,0.769,2016-01-06,0021500532,SAS vs. UTA,240,8,21,25,123,38,22015,10,SAS,1610612759,San Antonio Spurs,13,1,W
24,34,3,37,23,12,0.522,90,50,0.556,21,18,0.857,2016-01-27,0021500689,SAS vs. HOU,240,12,28,31,130,49,22015,7,SAS,1610612759,San Antonio Spurs,14,1,W
41,32,5,31,20,9,0.45,90,49,0.544,20,16,0.8,2016-01-04,0021500516,SAS @ MIL,240,13,20,25,123,44,22015,11,SAS,1610612759,San Antonio Spurs,13,1,W
63,30,9,26,12,6,0.5,88,48,0.545,18,17,0.944,2016-02-19,0021500818,SAS @ LAL,240,13,20,6,119,39,22015,6,SAS,1610612759,San Antonio Spurs,11,1,W
92,28,7,37,19,4,0.211,85,47,0.553,19,18,0.947,2016-03-08,0021500945,SAS @ MIN,240,9,16,25,116,46,22015,13,SAS,1610612759,San Antonio Spurs,9,1,W
101,25,4,32,14,6,0.429,89,47,0.528,26,19,0.731,2016-02-09,0021500784,SAS @ MIA,240,11,17,18,119,43,22015,10,SAS,1610612759,San Antonio Spurs,10,1,W
119,32,1,40,11,4,0.364,76,47,0.618,25,21,0.84,2015-12-07,0021500305,SAS @ PHI,240,7,17,51,119,47,22015,4,SAS,1610612759,San Antonio Spurs,7,1,W
162,27,7,38,20,6,0.3,89,46,0.517,9,8,0.889,2015-12-21,0021500416,SAS vs. IND,240,7,14,14,106,45,22015,8,SAS,1610612759,San Antonio Spurs,9,1,W
171,27,4,34,15,7,0.467,82,46,0.561,18,14,0.778,2015-11-11,0021500123,SAS @ POR,240,8,21,12,113,42,22015,4,SAS,1610612759,San Antonio Spurs,11,1,W
173,34,7,38,23,6,0.261,87,46,0.529,11,8,0.727,2015-11-09,0021500103,SAS @ SAC,240,8,19,18,106,46,22015,11,SAS,1610612759,San Antonio Spurs,16,1,W
192,35,11,33,16,8,0.5,86,45,0.523,22,20,0.909,2016-03-17,0021501018,SAS vs. POR,240,4,24,8,118,37,22015,8,SAS,1610612759,San Antonio Spurs,7,1,W
230,31,2,31,24,13,0.542,86,45,0.523,19,18,0.947,2016-01-02,0021500502,SAS vs. HOU,240,8,22,18,121,39,22015,9,SAS,1610612759,San Antonio Spurs,11,1,W
247,35,3,36,21,9,0.429,81,45,0.556,23,15,0.652,2015-11-07,0021500090,SAS vs. CHA,240,6,26,20,114,42,22015,11,SAS,1610612759,San Antonio Spurs,13,1,W
