,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,GAME_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,REB,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VIDEO_AVAILABLE,WL
54,38,4,35,31,15,0.484,86,48,0.558,17,13,0.765,2016-03-21,0021501044,CLE vs. DEN,240,8,19,33,124,43,22015,10,CLE,1610612739,Cleveland Cavaliers,13,1,W
65,26,1,33,31,13,0.419,94,48,0.511,18,11,0.611,2016-02-10,0021500795,CLE vs. LAL,240,13,20,9,120,46,22015,6,CLE,1610612739,Cleveland Cavaliers,7,1,W
74,16,3,31,29,12,0.414,89,48,0.539,19,13,0.684,2016-01-06,0021500527,CLE @ WAS,240,13,20,6,121,44,22015,9,CLE,1610612739,Cleveland Cavaliers,12,1,W
128,21,7,35,18,7,0.389,97,46,0.474,15,11,0.733,2016-04-13,0021501220,CLE vs. DET,265,8,23,-2,110,43,22015,4,CLE,1610612739,Cleveland Cavaliers,10,1,L
184,34,1,31,29,16,0.552,83,45,0.542,13,6,0.462,2016-04-03,0021501144,CLE vs. CHA,240,15,19,9,112,46,22015,7,CLE,1610612739,Cleveland Cavaliers,17,1,W
195,22,6,29,35,16,0.457,85,45,0.529,20,14,0.7,2016-03-10,0021500962,CLE @ LAL,240,9,20,12,120,38,22015,4,CLE,1610612739,Cleveland Cavaliers,8,1,W
204,26,1,35,32,13,0.406,91,45,0.495,17,11,0.647,2016-02-24,0021500845,CLE vs. CHA,240,12,20,11,114,47,22015,11,CLE,1610612739,Cleveland Cavaliers,9,1,W
209,27,5,41,35,16,0.457,94,45,0.479,19,14,0.737,2016-02-08,0021500775,CLE vs. SAC,240,12,25,20,120,53,22015,7,CLE,1610612739,Cleveland Cavaliers,14,1,W
214,24,4,33,23,9,0.391,82,45,0.549,21,18,0.857,2016-01-30,0021500713,CLE vs. SAS,240,10,21,14,117,43,22015,4,CLE,1610612739,Cleveland Cavaliers,10,1,W
217,34,3,27,28,11,0.393,81,45,0.556,16,14,0.875,2016-01-27,0021500684,CLE vs. PHX,240,10,17,22,115,37,22015,12,CLE,1610612739,Cleveland Cavaliers,15,1,W
