,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,GAME_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,REB,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VIDEO_AVAILABLE,WL
17,23,13,42,19,5,0.263,95,51,0.537,17,13,0.765,2015-12-23,0021500435,OKC @ LAL,240,19,17,35,120,61,22015,7,OKC,1610612760,Oklahoma City Thunder,17,1,W
28,19,9,40,27,8,0.296,110,50,0.455,38,31,0.816,2015-10-30,0021500022,OKC @ ORL,290,22,28,3,139,62,22015,8,OKC,1610612760,Oklahoma City Thunder,21,1,W
32,31,6,42,17,9,0.529,83,49,0.59,26,21,0.808,2016-03-14,0021500993,OKC vs. POR,240,10,20,34,128,52,22015,10,OKC,1610612760,Oklahoma City Thunder,13,1,W
46,26,8,35,20,4,0.2,94,49,0.521,30,22,0.733,2015-11-08,0021500097,OKC vs. PHX,240,17,25,21,124,52,22015,14,OKC,1610612760,Oklahoma City Thunder,15,1,W
59,33,2,42,24,9,0.375,91,48,0.527,18,15,0.833,2016-03-09,0021500955,OKC vs. LAC,240,10,20,12,120,52,22015,6,OKC,1610612760,Oklahoma City Thunder,16,1,W
70,23,6,32,20,10,0.5,91,48,0.527,21,20,0.952,2016-01-27,0021500688,OKC @ MIN,240,15,25,3,126,47,22015,0,OKC,1610612760,Oklahoma City Thunder,13,1,W
76,27,5,30,15,8,0.533,83,48,0.578,21,18,0.857,2015-12-27,0021500456,OKC vs. DEN,240,13,17,10,122,43,22015,5,OKC,1610612760,Oklahoma City Thunder,14,1,W
85,23,5,37,29,12,0.414,96,47,0.49,30,24,0.8,2016-03-16,0021501003,OKC @ BOS,240,16,24,21,130,53,22015,7,OKC,1610612760,Oklahoma City Thunder,10,1,W
94,28,3,37,34,14,0.412,82,47,0.573,26,23,0.885,2016-02-29,0021500889,OKC @ SAC,240,10,23,15,131,47,22015,7,OKC,1610612760,Oklahoma City Thunder,21,1,W
96,25,6,27,19,8,0.421,86,47,0.547,22,17,0.773,2016-02-25,0021500857,OKC @ NOP,240,9,15,-4,119,36,22015,4,OKC,1610612760,Oklahoma City Thunder,14,1,L
112,31,7,28,23,5,0.217,89,47,0.528,22,14,0.636,2016-01-15,0021500594,OKC vs. MIN,240,12,21,20,113,40,22015,10,OKC,1610612760,Oklahoma City Thunder,6,1,W
118,31,3,36,26,13,0.5,84,47,0.56,23,18,0.783,2015-12-08,0021500316,OKC @ MEM,240,10,17,37,125,46,22015,11,OKC,1610612760,Oklahoma City Thunder,12,1,W
122,25,6,27,22,9,0.409,90,47,0.522,18,14,0.778,2015-11-22,0021500199,OKC vs. DAL,240,14,23,3,117,41,22015,8,OKC,1610612760,Oklahoma City Thunder,16,1,W
131,32,4,42,33,15,0.455,87,46,0.529,24,17,0.708,2016-04-05,0021501160,OKC @ DEN,240,13,21,22,124,55,22015,10,OKC,1610612760,Oklahoma City Thunder,18,1,W
144,23,4,46,26,9,0.346,96,46,0.479,26,17,0.654,2016-02-27,0021500874,OKC vs. GSW,265,16,21,-3,118,62,22015,6,OKC,1610612760,Oklahoma City Thunder,23,1,L
151,23,2,43,20,11,0.55,99,46,0.465,29,25,0.862,2016-01-26,0021500679,OKC @ NYK,265,16,22,6,128,59,22015,7,OKC,1610612760,Oklahoma City Thunder,14,1,W
164,28,3,44,19,9,0.474,84,46,0.548,25,17,0.68,2015-12-19,0021500398,OKC vs. LAL,240,12,14,40,118,56,22015,6,OKC,1610612760,Oklahoma City Thunder,15,1,W
185,25,1,29,32,10,0.313,87,45,0.517,24,19,0.792,2016-03-31,0021501126,OKC vs. LAC,240,17,13,2,119,46,22015,10,OKC,1610612760,Oklahoma City Thunder,14,1,W
187,27,4,29,22,9,0.409,83,45,0.542,22,14,0.636,2016-03-24,0021501071,OKC vs. UTA,240,10,16,22,113,39,22015,13,OKC,1610612760,Oklahoma City Thunder,15,1,W
191,27,8,47,22,7,0.318,89,45,0.506,18,14,0.778,2016-03-18,0021501021,OKC @ PHI,240,16,24,14,111,63,22015,3,OKC,1610612760,Oklahoma City Thunder,20,1,W
205,28,7,41,32,12,0.375,86,45,0.523,23,19,0.826,2016-02-11,0021500802,OKC vs. NOP,240,9,20,26,121,50,22015,4,OKC,1610612760,Oklahoma City Thunder,18,1,W
223,18,6,30,30,8,0.267,91,45,0.495,15,11,0.733,2016-01-22,0021500651,OKC @ DAL,240,17,19,3,109,47,22015,3,OKC,1610612760,Oklahoma City Thunder,14,1,W
227,17,3,29,17,5,0.294,89,45,0.506,26,22,0.846,2016-01-08,0021500549,OKC @ LAL,240,16,15,4,117,45,22015,8,OKC,1610612760,Oklahoma City Thunder,14,1,W
250,32,10,37,25,13,0.52,86,45,0.523,18,14,0.778,2015-11-01,0021500044,OKC vs. DEN,240,13,23,24,117,50,22015,9,OKC,1610612760,Oklahoma City Thunder,19,1,W
262,19,5,34,20,7,0.35,85,44,0.518,18,16,0.889,2016-03-26,0021501088,OKC vs. SAS,240,13,18,19,111,47,22015,6,OKC,1610612760,Oklahoma City Thunder,17,1,W
290,25,10,31,27,9,0.333,93,44,0.473,25,20,0.8,2016-02-03,0021500740,OKC vs. ORL,240,19,17,3,117,50,22015,7,OKC,1610612760,Oklahoma City Thunder,13,1,W
337,27,2,43,23,15,0.652,86,44,0.512,29,22,0.759,2015-11-10,0021500107,OKC @ WAS,240,10,22,24,125,53,22015,4,OKC,1610612760,Oklahoma City Thunder,13,1,W
350,18,2,31,22,9,0.409,91,43,0.473,31,20,0.645,2016-04-06,0021501171,OKC @ POR,240,19,20,-5,115,50,22015,9,OKC,1610612760,Oklahoma City Thunder,17,1,L
376,28,5,38,33,12,0.364,89,43,0.483,22,18,0.818,2016-02-24,0021500852,OKC @ DAL,240,14,27,13,116,52,22015,5,OKC,1610612760,Oklahoma City Thunder,14,1,W
392,25,5,39,22,7,0.318,83,43,0.518,27,21,0.778,2016-02-01,0021500725,OKC vs. WAS,240,14,16,16,114,53,22015,9,OKC,1610612760,Oklahoma City Thunder,20,1,W
399,20,5,32,26,8,0.308,93,43,0.462,19,12,0.632,2016-01-24,0021500664,OKC @ BKN,240,14,19,-10,106,46,22015,7,OKC,1610612760,Oklahoma City Thunder,14,1,L
434,21,7,30,22,8,0.364,86,43,0.5,40,37,0.925,2015-12-29,0021500472,OKC vs. MIL,240,11,19,8,131,41,22015,12,OKC,1610612760,Oklahoma City Thunder,12,1,W
479,27,11,44,37,12,0.324,96,42,0.438,27,16,0.593,2016-04-11,0021501209,OKC vs. LAL,240,13,20,33,112,57,22015,8,OKC,1610612760,Oklahoma City Thunder,12,1,W
