,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,GAME_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,REB,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VIDEO_AVAILABLE,WL
15,34,5,37,24,13,0.542,91,51,0.56,15,13,0.867,2016-02-07,0021500773,BOS vs. SAC,240,12,19,9,128,49,22015,9,BOS,1610612738,Boston Celtics,24,1,W
20,39,4,34,29,10,0.345,87,51,0.586,10,8,0.8,2015-11-20,0021500179,BOS vs. BKN,240,7,19,25,120,41,22015,10,BOS,1610612738,Boston Celtics,16,1,W
36,33,2,28,28,10,0.357,101,49,0.485,17,14,0.824,2016-02-22,0021500838,BOS @ MIN,240,10,27,-2,122,38,22015,13,BOS,1610612738,Boston Celtics,11,1,L
44,32,9,40,33,12,0.364,114,49,0.43,16,9,0.563,2015-12-11,0021500336,BOS vs. GSW,290,11,30,-5,119,51,22015,7,BOS,1610612738,Boston Celtics,16,1,L
98,32,2,33,32,10,0.313,97,47,0.485,20,17,0.85,2016-02-21,0021500825,BOS @ DEN,240,15,25,20,121,48,22015,11,BOS,1610612738,Boston Celtics,17,1,W
100,34,2,35,33,13,0.394,95,47,0.495,37,32,0.865,2016-02-10,0021500792,BOS vs. LAC,265,8,33,5,139,43,22015,5,BOS,1610612738,Boston Celtics,10,1,W
135,28,3,39,25,10,0.4,94,46,0.489,21,18,0.857,2016-03-20,0021501039,BOS @ PHI,240,14,24,15,120,53,22015,8,BOS,1610612738,Boston Celtics,13,1,W
163,34,9,38,25,12,0.48,89,46,0.517,16,9,0.563,2015-12-21,0021500411,BOS vs. MIN,240,12,22,14,113,50,22015,6,BOS,1610612738,Boston Celtics,17,1,W
254,35,9,30,14,6,0.429,78,44,0.564,38,30,0.789,2016-04-08,0021501181,BOS vs. MIL,240,4,23,15,124,34,22015,6,BOS,1610612738,Boston Celtics,15,1,W
301,31,1,36,22,9,0.409,90,44,0.489,23,19,0.826,2016-01-25,0021500668,BOS @ WAS,240,7,23,25,116,43,22015,12,BOS,1610612738,Boston Celtics,11,1,W
335,27,3,33,36,11,0.306,93,44,0.473,17,12,0.706,2015-11-16,0021500154,BOS @ HOU,240,16,22,16,111,49,22015,16,BOS,1610612738,Boston Celtics,20,1,W
339,24,5,38,30,12,0.4,97,44,0.454,23,18,0.783,2015-11-06,0021500076,BOS vs. WAS,240,15,21,20,118,53,22015,18,BOS,1610612738,Boston Celtics,17,1,W
