,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,GAME_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,REB,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VIDEO_AVAILABLE,WL
2348,24,4,31,36,12,0.333,83,30,0.361,24,20,0.833,2016-01-10,0021500563,CHA @ DEN,240,9,18,-3,92,40,22015,6,CHA,1610612766,Charlotte Hornets,13,1,L
2394,18,7,27,22,6,0.273,84,29,0.345,34,26,0.765,2016-01-02,0021500497,CHA vs. OKC,240,7,27,-19,90,34,22015,7,CHA,1610612766,Charlotte Hornets,4,1,L
2395,19,6,32,28,8,0.286,81,29,0.358,32,23,0.719,2015-12-23,0021500423,CHA vs. BOS,240,12,18,-13,89,44,22015,6,CHA,1610612766,Charlotte Hornets,17,1,L
2396,20,3,26,41,12,0.293,83,29,0.349,31,25,0.806,2015-12-21,0021500415,CHA @ HOU,240,9,27,-7,95,35,22015,8,CHA,1610612766,Charlotte Hornets,12,1,L
2410,21,2,37,33,12,0.364,81,28,0.346,35,30,0.857,2016-04-10,0021501194,CHA @ WAS,240,9,25,-15,98,46,22015,7,CHA,1610612766,Charlotte Hornets,15,1,L
2416,17,3,38,31,9,0.29,82,28,0.341,37,32,0.865,2016-01-23,0021500655,CHA vs. NYK,240,11,20,13,97,49,22015,5,CHA,1610612766,Charlotte Hornets,12,1,W
2423,21,13,36,32,14,0.438,69,28,0.406,32,28,0.875,2015-12-26,0021500443,CHA vs. MEM,240,7,24,6,98,43,22015,10,CHA,1610612766,Charlotte Hornets,19,1,W
2439,16,4,31,32,7,0.219,81,27,0.333,23,15,0.652,2016-02-28,0021500878,CHA @ ATL,240,10,12,-11,76,41,22015,7,CHA,1610612766,Charlotte Hornets,7,1,L
2444,20,6,36,31,15,0.484,70,27,0.386,22,18,0.818,2015-11-29,0021500246,CHA vs. MIL,240,7,16,5,87,43,22015,6,CHA,1610612766,Charlotte Hornets,14,1,W
2456,10,0,30,25,6,0.24,68,25,0.368,21,17,0.81,2016-01-27,0021500690,CHA @ UTA,240,5,15,-29,73,35,22015,6,CHA,1610612766,Charlotte Hornets,20,1,L
