,COMMENT,GAME_ID,MIN,PCT_AST,PCT_BLK,PCT_BLKA,PCT_DREB,PCT_FG3A,PCT_FG3M,PCT_FGA,PCT_FGM,PCT_FTA,PCT_FTM,PCT_OREB,PCT_PF,PCT_PFD,PCT_PTS,PCT_REB,PCT_STL,PCT_TOV,PLAYER_ID,PLAYER_NAME,START_POSITION,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,USG_PCT
0,,0021500633,31:56,0.2,0.0,0.333,0.25,0.313,0.429,0.183,0.25,0.0,0.0,0.143,0.182,0.0,0.239,0.217,0.4,0.111,203109,Jae Crowder,F,BOS,Boston,1610612738,0.164
1,,0021500633,24:12,0.05,1.0,0.0,0.154,0.071,0.0,0.065,0.043,0.0,0.0,0.333,0.25,0.0,0.035,0.211,0.0,0.333,101161,Amir Johnson,F,BOS,Boston,1610612738,0.093
2,,0021500633,12:51,0.125,0.0,0.0,0.0,0.0,0.0,0.333,0.125,0.333,0.2,0.667,0.2,0.4,0.13,0.333,0.667,0.4,203096,Jared Sullinger,C,BOS,Boston,1610612738,0.345
3,,0021500633,35:45,0.04,0.0,0.333,0.118,0.19,0.091,0.222,0.273,0.0,0.0,0.0,0.077,0.0,0.218,0.087,0.143,0.273,202340,Avery Bradley,G,BOS,Boston,1610612738,0.213
4,,0021500633,35:17,0.417,0.0,0.5,0.158,0.35,0.375,0.284,0.226,1.0,1.0,0.143,0.059,0.75,0.284,0.154,0.0,0.182,202738,Isaiah Thomas,G,BOS,Boston,1610612738,0.285
5,,0021500633,24:11,0.308,0.0,0.0,0.286,0.167,0.0,0.125,0.091,0.182,0.286,0.0,0.364,0.333,0.107,0.25,0.333,0.125,203935,Marcus Smart,,BOS,Boston,1610612738,0.13
6,,0021500633,22:38,0.5,0.0,0.0,0.455,0.0,0.0,0.162,0.2,0.364,0.429,0.0,0.25,0.25,0.212,0.385,0.0,0.4,202323,Evan Turner,,BOS,Boston,1610612738,0.208
7,,0021500633,7:23,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.286,0.5,0.0,1.0,0.0,0.5,0.25,0.167,0.0,0.0,203092,Tyler Zeller,,BOS,Boston,1610612738,0.466
8,,0021500633,31:03,0.235,0.0,0.0,0.158,0.25,0.3,0.185,0.241,0.091,0.143,0.2,0.154,0.091,0.24,0.167,0.2,0.0,203482,Kelly Olynyk,,BOS,Boston,1610612738,0.152
9,,0021500633,14:45,0.0,0.0,0.0,0.25,0.2,0.5,0.16,0.214,0.0,0.0,0.0,0.5,0.0,0.235,0.222,0.333,0.25,201973,Jonas Jerebko,,BOS,Boston,1610612738,0.167
10,DNP - Coach's Decision                  ,0021500633,,,,,,,,,,,,,,,,,,,101135,David Lee,,BOS,Boston,1610612738,0.0
11,DNP - Coach's Decision                  ,0021500633,,,,,,,,,,,,,,,,,,,203923,James Young,,BOS,Boston,1610612738,0.0
12,,0021500633,19:37,0.25,1.0,0.0,0.231,0.182,0.2,0.086,0.091,0.0,0.0,0.0,0.0,0.0,0.093,0.188,0.0,0.25,201949,James Johnson,F,TOR,Toronto,1610612761,0.095
13,,0021500633,24:46,0.0,0.0,0.0,0.143,0.308,0.286,0.273,0.276,0.0,0.0,0.75,0.429,0.182,0.25,0.278,0.0,0.0,2449,Luis Scola,F,TOR,Toronto,1610612761,0.227
14,,0021500633,28:47,0.056,0.0,0.0,0.526,0.0,0.0,0.167,0.257,0.182,0.111,0.5,0.125,0.182,0.218,0.522,0.333,0.2,202685,Jonas Valanciunas,C,TOR,Toronto,1610612761,0.17
15,,0021500633,37:58,0.3,0.0,0.0,0.087,0.05,0.0,0.368,0.317,0.692,0.727,0.0,0.077,0.533,0.333,0.071,0.167,0.25,201942,DeMar DeRozan,G,TOR,Toronto,1610612761,0.379
16,,0021500633,36:36,0.4,0.0,0.0,0.087,0.346,0.364,0.183,0.111,0.154,0.25,0.0,0.4,0.214,0.154,0.069,0.5,0.5,200768,Kyle Lowry,G,TOR,Toronto,1610612761,0.23
17,,0021500633,26:07,0.25,0.0,0.0,0.286,0.176,0.0,0.159,0.15,0.0,0.0,0.5,0.2,0.0,0.12,0.35,0.2,0.0,202335,Patrick Patterson,,TOR,Toronto,1610612761,0.124
18,,0021500633,28:23,0.091,0.25,0.0,0.067,0.444,0.667,0.188,0.208,0.0,0.0,0.0,0.182,0.0,0.23,0.048,0.0,0.111,203082,Terrence Ross,,TOR,Toronto,1610612761,0.163
19,,0021500633,21:26,0.333,0.0,1.0,0.0,0.167,0.0,0.158,0.067,0.0,0.0,0.143,0.143,0.0,0.054,0.059,0.0,0.0,202709,Cory Joseph,,TOR,Toronto,1610612761,0.126
20,,0021500633,16:21,0.0,0.75,0.0,0.444,0.0,0.0,0.042,0.125,0.667,0.333,0.0,0.2,0.667,0.143,0.308,0.25,0.286,202687,Bismack Biyombo,,TOR,Toronto,1610612761,0.141
21,DNP - Coach's Decision                  ,0021500633,,,,,,,,,,,,,,,,,,,203461,Anthony Bennett,,TOR,Toronto,1610612761,0.0
22,DNP - Coach's Decision                  ,0021500633,,,,,,,,,,,,,,,,,,,203512,Lucas Nogueira,,TOR,Toronto,1610612761,0.0
23,DNP - Coach's Decision                  ,0021500633,,,,,,,,,,,,,,,,,,,1626181,Norman Powell,,TOR,Toronto,1610612761,0.0
24,DNP - Coach's Decision                  ,0021500633,,,,,,,,,,,,,,,,,,,1626153,Delon Wright,,TOR,Toronto,1610612761,0.0
