,GAMECODE,GAME_DATE_EST,GAME_ID,GAME_SEQUENCE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,HOME_TEAM_LOSSES,HOME_TEAM_WINS,LARGEST_LEAD,LEAD_CHANGES,LEAGUE_ID,LIVE_PC_TIME,LIVE_PERIOD,LIVE_PERIOD_TIME_BCAST,NATL_TV_BROADCASTER_ABBREVIATION,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,SEASON,SERIES_LEADER,TEAM_ABBREVIATION,TEAM_CITY,TEAM_ID,TIMES_TIED,VISITOR_TEAM_ID,WH_STATUS
0,20160222/TORNYK,2016-02-22T00:00:00,0021500835,3.0,3.0,Final,1610612752.0,,,,,,     ,4.0,Q4       - ,,,,,2015,,,,,,1610612761.0,1.0
0,,,,,,,,,,27.0,2.0,00,,,,,15.0,6.0,58.0,,,TOR,Toronto,1610612761.0,6.0,,
1,,,,,,,,,,5.0,2.0,00,,,,,10.0,2.0,38.0,,,NYK,New York,1610612752.0,6.0,,
0,,2016-02-22T00:00:00,0021500835,,,,1610612752.0,3.0,1.0,,,,,,,,,,,,Toronto,,,,,1610612761.0,
