,AST,BLK,BLKA,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GROUP_ID,GROUP_NAME,GROUP_SET,GROUP_VALUE,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,W,W_PCT
194,-2.02638,0.0,0.0,0.0,-2.02638,-3.03957,-0.75,3.03957,-1.01319,-0.333,3.03957,1.01319,-0.5,1,2440 - 201596 - 200797 - 201584 - 2216,"Barnes,Matt - Chalmers,Mario - Hollins,Ryan - Lee,Courtney - Randolph,Zach",Lineups,,1,4.41666666667,4.05276,-1.01319,1.01319,-4.05276,-4.05276,4.05276,0.0,,,,0.0,0,0.0
195,2.02638,1.01319,-1.01319,1.01319,-1.01319,2.02638,1.0,-2.02638,1.01319,0.238,1.01319,1.01319,1.0,1,2440 - 1713 - 201144 - 203210 - 201145,"Barnes,Matt - Carter,Vince - Conley,Mike - Green,JaMychal - Green,Jeff",Lineups,,0,4.4,-2.02638,-1.01319,1.01319,5.06595,5.06595,-1.01319,0.0,,,,0.0,1,1.0
196,0.0,1.01319,-1.01319,-2.02638,0.0,-1.01319,-0.5,1.01319,0.0,-0.054,0.0,0.0,0.0,1,2440 - 201596 - 203798 - 1626185 - 2216,"Barnes,Matt - Chalmers,Mario - Hairston,PJ - Martin,Jarell - Randolph,Zach",Lineups,,0,4.4,0.0,1.01319,-1.01319,-1.01319,-1.01319,-2.02638,1.01319,,,,-2.02638,1,1.0
197,2.02638,1.01319,-1.01319,0.0,1.01319,-1.01319,-1.0,-1.01319,0.0,0.071,0.0,0.0,0.0,1,201596 - 203516 - 203210 - 201584 - 203893,"Chalmers,Mario - Ennis,James - Green,JaMychal - Lee,Courtney - Smith,Russ",Lineups,,1,4.4,-1.01319,0.0,0.0,-1.01319,-1.01319,-1.01319,0.0,,,,0.0,0,0.0
198,3.03957,1.01319,-1.01319,1.01319,1.01319,-1.01319,-0.667,2.02638,2.02638,0.114,1.01319,-1.01319,-0.667,3,2440 - 201596 - 201144 - 203210 - 2216,"Barnes,Matt - Chalmers,Mario - Conley,Mike - Green,JaMychal - Randolph,Zach",Lineups,,1,4.37833333333,0.0,0.0,0.0,2.02638,2.02638,1.01319,0.0,,,,0.0,2,0.667
199,3.03957,0.0,0.0,-2.02638,-1.01319,0.0,0.0,3.03957,1.01319,-0.175,-3.03957,-2.02638,0.25,3,2754 - 2440 - 1626185 - 202362 - 1627362,"Allen,Tony - Barnes,Matt - Martin,Jarell - Stephenson,Lance - Weber,Briante",Lineups,,2,4.36,0.0,1.01319,-1.01319,0.0,0.0,-2.02638,1.01319,,,,-1.01319,1,0.333
200,-1.01319,-2.02638,2.02638,-2.02638,-2.02638,-1.01319,-0.333,6.07914,-2.02638,-0.411,1.01319,0.0,0.0,1,203210 - 1626185 - 203492 - 1627293 - 1627362,"Green,JaMychal - Martin,Jarell - McCallum,Ray - Stepheson,Alex - Weber,Briante",Lineups,,1,4.31666666667,7.09233,-4.05276,4.05276,-5.06595,-5.06595,5.06595,0.0,,,,0.0,0,0.0
201,0.0,0.0,0.0,-2.02638,3.03957,2.02638,0.667,6.07914,1.01319,-0.345,-2.02638,-2.02638,-1.0,1,2440 - 200770 - 203210 - 204098 - 202362,"Barnes,Matt - Farmar,Jordan - Green,JaMychal - Munford,Xavier - Stephenson,Lance",Lineups,,0,4.3,3.03957,-2.02638,2.02638,2.02638,2.02638,1.01319,1.01319,,,,-2.02638,1,1.0
202,-2.02638,0.0,0.0,-3.03957,0.0,-2.02638,-1.0,-1.01319,-2.02638,-0.214,1.01319,1.01319,0.0,1,200770 - 203210 - 203798 - 1626185 - 202362,"Farmar,Jordan - Green,JaMychal - Hairston,PJ - Martin,Jarell - Stephenson,Lance",Lineups,,1,4.3,0.0,0.0,0.0,-5.06595,-5.06595,-3.03957,-1.01319,,,,1.01319,0,0.0
203,-1.01319,2.02638,-2.02638,-5.06595,-1.01319,-2.02638,-0.5,-1.01319,-2.02638,-0.214,2.02638,1.01319,0.5,2,2440 - 201144 - 201145 - 2216 - 201148,"Barnes,Matt - Conley,Mike - Green,Jeff - Randolph,Zach - Wright,Brandan",Lineups,,1,4.23333333333,0.0,-2.02638,2.02638,-5.06595,-5.06595,-5.06595,0.0,,,,0.0,1,0.5
204,-2.02638,-1.01319,1.01319,-2.02638,0.0,-1.01319,-0.25,2.02638,-3.03957,-0.425,-1.01319,-1.01319,-1.0,1,2440 - 1713 - 203798 - 200797 - 202362,"Barnes,Matt - Carter,Vince - Hairston,PJ - Hollins,Ryan - Stephenson,Lance",Lineups,,1,4.21666666667,2.02638,-1.01319,1.01319,-8.10552,-8.10552,0.0,-1.01319,,,,2.02638,0,0.0
205,3.03957,0.0,0.0,-1.01319,-3.03957,0.0,0.75,-2.02638,0.0,0.125,0.0,1.01319,0.25,3,2440 - 201596 - 201144 - 203798 - 2216,"Barnes,Matt - Chalmers,Mario - Conley,Mike - Hairston,PJ - Randolph,Zach",Lineups,,2,4.20333333333,-2.02638,1.01319,-1.01319,1.01319,1.01319,-3.03957,1.01319,,,,-1.01319,1,0.333
