AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,OREB,PF,PLUS_MINUS,PTS,REB,STL,TOV,WL
-44.0,39.0,179.0,-256.0,-79.0,-5.438000000000002,-247.0,-55.0,10.74900000000002,-32.0,-44.0,-11.669999999999998,156.0,78.0,252.0,-233.0,335.0,22.0,1.0,-1
-163.0,-24.0,-107.0,202.0,83.0,6.449000000000005,-16.0,-14.0,3.2199999999999953,-352.0,-299.0,-19.365999999999985,-31.0,40.0,228.0,-244.0,-138.0,7.0,-23.0,1
-42.0,16.0,110.0,-16.0,-19.0,-8.375000000000007,280.0,125.0,-11.41200000000001,170.0,141.0,9.795999999999996,-6.0,-89.0,-31.0,372.0,104.0,-39.0,-2.0,1
-41.0,-86.0,-264.0,122.0,59.0,18.866999999999997,-239.0,-172.0,-27.10900000000001,-187.0,-109.0,-31.626000000000005,-212.0,-183.0,-515.0,-394.0,-476.0,-31.0,-60.0,-1
-173.0,4.0,-37.0,-240.0,-80.0,-11.985000000000005,-653.0,-248.0,-2.634000000000011,-188.0,-165.0,-22.075999999999993,38.0,-122.0,249.0,-741.0,1.0,-15.0,-133.0,1
-59.0,-14.0,47.0,-69.0,-18.0,1.6019999999999825,-270.0,-132.0,-1.4989999999999881,9.0,14.0,-0.6649999999999991,-12.0,-45.0,-607.0,-268.0,35.0,-88.0,6.0,1
-63.0,43.0,27.0,-483.0,-176.0,-25.967999999999986,-405.0,-86.0,10.066000000000024,-32.0,-25.0,-8.409000000000006,84.0,-8.0,464.0,-373.0,111.0,-23.0,-49.0,1
138.0,7.0,219.0,233.0,90.0,25.465000000000007,759.0,341.0,24.576999999999995,123.0,103.0,33.714,19.0,123.0,-144.0,875.0,238.0,23.0,78.0,-1
-374.0,90.0,100.0,-398.0,-139.0,-23.334999999999994,-585.0,-216.0,13.844000000000005,34.0,-21.0,-12.014999999999986,127.0,111.0,-124.0,-592.0,227.0,-46.0,-134.0,1
-174.0,32.0,216.0,-38.0,-19.0,-2.4420000000000037,56.0,41.0,-5.969999999999999,172.0,139.0,3.503999999999998,22.0,-9.0,99.0,202.0,238.0,10.0,-35.0,1
117.0,-21.0,-126.0,248.0,87.0,12.385000000000005,479.0,177.0,-4.876000000000001,150.0,144.0,20.574999999999992,-139.0,56.0,-440.0,585.0,-265.0,-15.0,79.0,-1
-54.0,4.0,-47.0,-42.0,-26.0,-7.873999999999999,-60.0,-39.0,-7.158000000000005,0.0,4.0,3.3339999999999996,-31.0,-109.0,134.0,-100.0,-78.0,-7.0,-23.0,1
-112.0,57.0,55.0,-271.0,-105.0,-21.477,-574.0,-225.0,9.419000000000004,-92.0,-75.0,-13.984000000000002,45.0,22.0,-2.0,-630.0,100.0,-7.0,-48.0,1
-66.0,-34.0,-244.0,-160.0,-41.0,5.488000000000007,-362.0,-165.0,0.9630000000000187,-126.0,-106.0,-20.419999999999987,-22.0,64.0,171.0,-477.0,-266.0,-21.0,-89.0,1
126.0,-63.0,-15.0,499.0,185.0,30.241999999999994,433.0,96.0,-14.524000000000008,-35.0,12.0,6.198999999999998,-152.0,-46.0,-432.0,389.0,-167.0,118.0,29.0,1
2.0,-24.0,-66.0,-93.0,-38.0,-4.3700000000000045,26.0,40.0,-1.0849999999999866,36.0,30.0,0.04000000000000625,10.0,-49.0,-37.0,72.0,-56.0,2.0,-39.0,-1
-60.0,21.0,95.0,-120.0,-38.0,-13.682,-7.0,23.0,5.454000000000004,-32.0,-19.0,-4.105,52.0,40.0,171.0,-11.0,147.0,-19.0,0.0,1
-324.0,37.0,32.0,-239.0,-98.0,-28.823,-334.0,-108.0,-3.741000000000014,10.0,0.0,-9.717000000000002,34.0,-69.0,-417.0,-314.0,66.0,-22.0,-84.0,-1
-88.0,44.0,34.0,-269.0,-105.0,-21.477,-482.0,-185.0,11.575000000000003,-28.0,-10.0,1.9950000000000045,63.0,8.0,4.0,-485.0,97.0,-21.0,-70.0,1
-336.0,3.0,-116.0,-239.0,-98.0,-28.823,-501.0,-201.0,-26.135000000000012,-58.0,-51.0,-25.501000000000005,-25.0,-163.0,-398.0,-551.0,-141.0,-42.0,-114.0,-1
-145.0,27.0,-11.0,-407.0,-147.0,-25.240000000000006,-842.0,-357.0,-7.573999999999998,-47.0,-39.0,-16.099999999999998,19.0,-55.0,-252.0,-900.0,8.0,-95.0,-77.0,-1
-136.0,0.0,-141.0,-485.0,-176.0,-25.967999999999986,-712.0,-254.0,-22.540999999999983,-172.0,-144.0,-42.84400000000001,-12.0,-118.0,467.0,-828.0,-153.0,-54.0,-89.0,1
53.0,-15.0,-25.0,27.0,17.0,8.972000000000001,195.0,100.0,11.360000000000003,7.0,8.0,3.9170000000000016,10.0,62.0,35.0,225.0,-15.0,25.0,29.0,1
320.0,2.0,87.0,358.0,127.0,11.834999999999994,485.0,182.0,-7.36200000000002,86.0,92.0,27.41999999999999,-111.0,-55.0,145.0,583.0,-24.0,6.0,124.0,-1
66.0,-37.0,-60.0,154.0,60.0,3.7940000000000005,310.0,138.0,-3.688999999999986,123.0,95.0,18.639999999999997,-45.0,-68.0,28.0,431.0,-105.0,1.0,46.0,-1
-12.0,-34.0,-148.0,0.0,0.0,0.0,-167.0,-93.0,-22.394,-68.0,-51.0,-15.784000000000002,-59.0,-94.0,19.0,-237.0,-207.0,-20.0,-30.0,1
-275.0,-95.0,-307.0,-67.0,-13.0,-1.748000000000001,-544.0,-298.0,-12.307999999999996,-271.0,-206.0,-32.103999999999985,-9.0,-83.0,75.0,-815.0,-316.0,16.0,-130.0,1
115.0,-123.0,-230.0,237.0,91.0,26.465000000000007,511.0,198.0,-12.306000000000004,-95.0,-32.0,0.3079999999999927,-159.0,-83.0,-238.0,455.0,-389.0,6.0,11.0,-1
-68.0,-52.0,-157.0,3.0,1.0,1.0,-277.0,-161.0,-30.474000000000007,-140.0,-118.0,-33.935,-100.0,-106.0,12.0,-439.0,-257.0,-31.0,-38.0,1
4.0,12.0,71.0,-48.0,-19.0,-11.9,101.0,31.0,-2.4939999999999998,-6.0,2.0,-0.8659999999999997,10.0,31.0,60.0,45.0,81.0,-10.0,27.0,1
82.0,-23.0,-90.0,407.0,147.0,25.240000000000006,649.0,265.0,-5.6580000000000155,50.0,50.0,13.551000000000002,-114.0,17.0,27.0,727.0,-204.0,91.0,40.0,-1
13.0,7.0,-79.0,76.0,33.0,6.183,101.0,31.0,-7.813000000000024,-53.0,-31.0,-4.7010000000000005,-80.0,16.0,-117.0,64.0,-159.0,-6.0,-15.0,-1
-96.0,70.0,142.0,-407.0,-147.0,-25.240000000000006,-593.0,-195.0,14.24600000000001,73.0,18.0,-0.25799999999999557,171.0,59.0,257.0,-519.0,313.0,-75.0,-25.0,-1
88.0,-3.0,65.0,264.0,97.0,13.390000000000004,337.0,130.0,-4.177000000000017,45.0,52.0,18.749000000000006,-138.0,7.0,11.0,409.0,-73.0,39.0,57.0,-1
83.0,2.0,46.0,117.0,45.0,17.683,312.0,122.0,2.326999999999991,-23.0,-17.0,-1.9840000000000018,19.0,76.0,-16.0,272.0,65.0,31.0,34.0,-1
-81.0,3.0,-165.0,-337.0,-129.0,-26.841999999999988,-677.0,-293.0,-25.992000000000008,-123.0,-102.0,-29.719,-27.0,-87.0,352.0,-817.0,-192.0,-20.0,-104.0,-1
-113.0,26.0,-49.0,-237.0,-91.0,-26.465000000000007,-484.0,-204.0,-4.179999999999993,-69.0,-58.0,-18.08,52.0,-8.0,86.0,-557.0,3.0,-6.0,-28.0,-1
-18.0,-5.0,-29.0,124.0,47.0,5.070999999999984,116.0,29.0,1.1850000000000165,-2.0,8.0,-0.509999999999998,-41.0,-17.0,-851.0,113.0,-70.0,-12.0,58.0,-1
